ingredient,pct_vs_baseline,direction,flag,median_cents,elevated_weeks
whole-chicken,-0.0404,down,,95,0
chicken-breast,-0.1438,down,,125,0
ribeye,-0.0311,down,,1152,0
beef-tenderloin,-0.0296,down,,1443,0
pork-shoulder,-0.2237,down,,118,0
pork-loin,-0.0426,down,,90,0
onion,0.1458,up,re-price,2500,5
russet-potato,0.1304,up,re-price,1950,8
cheddar-cheese,-0.0186,down,,158,0
butter,-0.1481,down,,161,0
eggs,-0.1212,down,,58,0
romaine-lettuce,-0.5593,down,,3625,0
tomato,-0.0377,down,,2100,0
bell-pepper,-0.1714,down,re-price,2900,8
broccoli,-0.0667,down,,2888,0
cauliflower,0.1679,up,re-price,4000,8
spinach,0.0000,flat,,2238,0
asparagus,0.3968,up,re-price,4975,4
garlic,0.1455,up,re-price,6000,8
carrot,-0.0078,down,,3350,0
corn-on-the-cob,0.1429,up,re-price,2800,5
kale,0.0000,flat,,2175,0
basil,0.0000,flat,,744,0
cilantro,0.0000,flat,,2788,0
button-mushroom,0.0000,flat,,2163,0
sweet-potato,0.0000,flat,,3400,0
avocado,-0.3690,down,,4575,0
lime,-0.5313,down,,2300,0
pineapple,0.1406,up,re-price,1825,5
lemon,0.3026,up,,4813,0
celery,-0.1341,down,,3338,0
cabbage,-0.1500,down,,2113,0
cucumber,-0.3333,down,,2088,0
zucchini,-0.5189,down,,1375,0
eggplant,-0.3906,down,,3100,0
leek,0.0000,flat,,2988,0
ginger,0.0000,flat,,4300,0
yellow-squash,-0.3043,down,,1600,0
jalapeno,-0.1042,down,,2900,0
green-onion,-0.0450,down,re-price,2075,4
green-beans,1.2535,up,re-price,4075,7
parsley,0.0000,flat,,2963,0
brussels-sprouts,0.0390,up,,3388,0
butternut-squash,-0.0833,down,,2482,0
iceberg-lettuce,-0.2628,down,,3175,0
bok-choy,-0.2750,down,,3000,0
artichoke,0.3333,up,re-price,5575,4
okra,0.0667,up,,2775,0
snow-peas,0.3333,up,re-price,3550,8
butter-lettuce,-0.0997,down,,2525,0
green-leaf-lettuce,-0.2361,down,,2650,0
red-leaf-lettuce,-0.3121,down,,2994,0
collard-greens,0.0000,flat,,1875,0
napa-cabbage,-0.1181,down,,2925,0
rutabaga,0.0000,flat,,3025,0
daikon,0.0000,flat,,3300,0
beet,0.0667,up,,2325,0
acorn-squash,0.1176,up,re-price,3800,4
serrano-pepper,0.0000,flat,,3675,0
poblano-pepper,0.0000,flat,,3250,0
habanero-pepper,0.0448,up,,3513,0
mint,0.0000,flat,,1263,0
rosemary,0.0000,flat,,800,0
thyme,0.0000,flat,,847,0
oregano,0.0000,flat,,800,0
tarragon,0.0000,flat,,1088,0
dill,-0.0200,down,,2450,0
red-onion,0.2639,up,re-price,2150,8
cherry-tomato,-0.0400,down,,2350,0
red-potato,0.1207,up,,3150,0
apple,-0.0417,down,,3825,0
pear,0.0694,up,,4025,0
banana,0.0000,flat,,2163,0
grapefruit,0.0000,flat,,3250,0
watermelon,-0.0571,down,,825,0
blueberry,0.4231,up,re-price,3594,5
raspberry,0.0341,up,watch,3319,
ground-beef,-0.0230,down,watch,551,
short-rib,0.0117,up,,603,0
whole-turkey,0.0651,up,,180,0
cantaloupe,0.3421,up,watch,3532,
