slug,name,unit,basis,price_low_usd,price_median_usd,price_high_usd,spread_pct,pct_in_window,confidence,as_of,sources,url
brussels-sprouts,Brussels sprouts,carton,wholesale,31.25,33.75,36.5,15.6,48,low,2026-07-16,7,https://muntin.digital/cost-index/brussels-sprouts/
butternut-squash,Butternut squash,carton,wholesale,23.07,26,31.25,31.5,36,low,2026-07-16,7,https://muntin.digital/cost-index/butternut-squash/
iceberg-lettuce,Iceberg lettuce,carton,wholesale,14.87,27.75,40.63,92.8,50,low,2026-07-16,7,https://muntin.digital/cost-index/iceberg-lettuce/
bok-choy,Bok choy,carton,wholesale,24.75,29,35.69,37.7,39,low,2026-07-16,7,https://muntin.digital/cost-index/bok-choy/
artichoke,Artichoke,carton,wholesale,47,52,56.75,18.8,51,low,2026-07-16,7,https://muntin.digital/cost-index/artichoke/
okra,Okra,carton,wholesale,23.5,24.63,25.75,9.1,50,low,2026-07-16,6,https://muntin.digital/cost-index/okra/
snow-peas,Snow peas,carton,wholesale,35.5,40.5,45.5,24.7,50,low,2026-07-16,7,https://muntin.digital/cost-index/snow-peas/
butter-lettuce,Butter lettuce,carton,wholesale,24.13,25.63,35.38,43.9,13,low,2026-07-16,6,https://muntin.digital/cost-index/butter-lettuce/
green-leaf-lettuce,Green leaf lettuce,carton,wholesale,19.44,25.5,31.56,47.5,50,low,2026-07-16,7,https://muntin.digital/cost-index/green-leaf-lettuce/
red-leaf-lettuce,Red leaf lettuce,carton,wholesale,19.69,24.75,29.81,40.9,50,low,2026-07-16,7,https://muntin.digital/cost-index/red-leaf-lettuce/
collard-greens,Collard greens,carton,wholesale,16.69,18,18.75,11.4,64,low,2026-07-16,8,https://muntin.digital/cost-index/collard-greens/
napa-cabbage,Napa cabbage,carton,wholesale,24.25,28.19,32.88,30.6,46,low,2026-07-16,8,https://muntin.digital/cost-index/napa-cabbage/
rutabaga,Rutabaga,carton,wholesale,30,30.25,31.81,6,14,low,2026-07-16,6,https://muntin.digital/cost-index/rutabaga/
daikon,Daikon radish,carton,wholesale,27.88,33,35.13,22,71,low,2026-07-16,6,https://muntin.digital/cost-index/daikon/
