anchor_slug,neighbor_slug,shared_moves_k,anchor_total_n
broccoli,iceberg-lettuce,1,6
broccoli,kale,1,6
broccoli,leek,1,6
broccoli,lemon,1,6
broccoli,napa-cabbage,1,6
broccoli,onion,1,6
broccoli,parsley,1,6
broccoli,poblano-pepper,1,6
broccoli,ribeye,1,6
broccoli,rutabaga,1,6
broccoli,short-rib,1,6
broccoli,spinach,1,6
broccoli,watermelon,1,6
brussels-sprouts,avocado,2,6
brussels-sprouts,napa-cabbage,2,6
brussels-sprouts,red-onion,2,6
brussels-sprouts,asparagus,1,6
brussels-sprouts,bell-pepper,1,6
brussels-sprouts,butternut-squash,1,6
brussels-sprouts,carrot,1,6
brussels-sprouts,celery,1,6
brussels-sprouts,cherry-tomato,1,6
brussels-sprouts,collard-greens,1,6
brussels-sprouts,corn-on-the-cob,1,6
brussels-sprouts,ginger,1,6
brussels-sprouts,grapefruit,1,6
brussels-sprouts,green-onion,1,6
brussels-sprouts,jalapeno,1,6
brussels-sprouts,kale,1,6
brussels-sprouts,leek,1,6
brussels-sprouts,lemon,1,6
brussels-sprouts,mint,1,6
brussels-sprouts,raspberry,1,6
brussels-sprouts,rutabaga,1,6
brussels-sprouts,serrano-pepper,1,6
brussels-sprouts,snow-peas,1,6
brussels-sprouts,striploin,1,6
brussels-sprouts,watermelon,1,6
brussels-sprouts,whole-chicken,1,6
butter,cheddar-cheese,2,5
butter,beef-tenderloin,1,5
butter,blueberry,1,5
butter,broccoli,1,5
butter,cabbage,1,5
butter,cantaloupe,1,5
butter,cauliflower,1,5
butter,cherry-tomato,1,5
butter,garlic,1,5
butter,grapefruit,1,5
butter,green-onion,1,5
butter,leek,1,5
butter,lemon,1,5
butter,snow-peas,1,5
butter,watermelon,1,5
butter-lettuce,green-leaf-lettuce,3,6
butter-lettuce,iceberg-lettuce,3,6
butter-lettuce,red-leaf-lettuce,3,6
butter-lettuce,cherry-tomato,2,6
butter-lettuce,cucumber,2,6
butter-lettuce,red-potato,2,6
butter-lettuce,romaine-lettuce,2,6
butter-lettuce,tomato,2,6
butter-lettuce,beet,1,6
butter-lettuce,bell-pepper,1,6
butter-lettuce,blueberry,1,6
butter-lettuce,broccoli,1,6
butter-lettuce,butternut-squash,1,6
butter-lettuce,cantaloupe,1,6
butter-lettuce,collard-greens,1,6
butter-lettuce,green-onion,1,6
butter-lettuce,habanero-pepper,1,6
butter-lettuce,leek,1,6
butter-lettuce,onion,1,6
butter-lettuce,red-onion,1,6
butter-lettuce,serrano-pepper,1,6
butter-lettuce,short-rib,1,6
butter-lettuce,spinach,1,6
butternut-squash,red-onion,3,6
butternut-squash,celery,2,6
butternut-squash,collard-greens,2,6
butternut-squash,eggplant,2,6
butternut-squash,jalapeno,2,6
butternut-squash,kale,2,6
butternut-squash,acorn-squash,1,6
butternut-squash,artichoke,1,6
butternut-squash,beet,1,6
butternut-squash,blueberry,1,6
butternut-squash,brussels-sprouts,1,6
butternut-squash,butter-lettuce,1,6
