anchor_slug,neighbor_slug,shared_moves_k,anchor_total_n
leek,brussels-sprouts,1,6
leek,butter,1,6
leek,butter-lettuce,1,6
leek,butternut-squash,1,6
leek,cabbage,1,6
leek,carrot,1,6
leek,celery,1,6
leek,cucumber,1,6
leek,green-leaf-lettuce,1,6
leek,green-onion,1,6
leek,pear,1,6
leek,red-leaf-lettuce,1,6
leek,red-onion,1,6
leek,ribeye,1,6
leek,russet-potato,1,6
leek,rutabaga,1,6
leek,serrano-pepper,1,6
leek,spinach,1,6
leek,zucchini,1,6
lemon,apple,2,6
lemon,cantaloupe,2,6
lemon,grapefruit,2,6
lemon,rutabaga,2,6
lemon,acorn-squash,1,6
lemon,banana,1,6
lemon,bell-pepper,1,6
lemon,broccoli,1,6
lemon,brussels-sprouts,1,6
lemon,butter,1,6
lemon,carrot,1,6
lemon,cauliflower,1,6
lemon,cucumber,1,6
lemon,dill,1,6
lemon,garlic,1,6
lemon,onion,1,6
lemon,pumpkin,1,6
lemon,red-potato,1,6
lemon,russet-potato,1,6
lime,corn-on-the-cob,2,6
lime,acorn-squash,1,6
lime,asparagus,1,6
lime,beet,1,6
lime,cauliflower,1,6
lime,celery,1,6
lime,cucumber,1,6
lime,eggplant,1,6
lime,green-beans,1,6
lime,iceberg-lettuce,1,6
lime,jalapeno,1,6
lime,kale,1,6
lime,napa-cabbage,1,6
lime,okra,1,6
lime,pear,1,6
lime,poblano-pepper,1,6
lime,pork-loin,1,6
lime,raspberry,1,6
lime,red-leaf-lettuce,1,6
lime,ribeye,1,6
lime,romaine-lettuce,1,6
lime,striploin,1,6
lime,zucchini,1,6
mint,brussels-sprouts,1,1
mint,ginger,1,1
mint,green-onion,1,1
mint,raspberry,1,1
mint,whole-chicken,1,1
napa-cabbage,brussels-sprouts,2,6
napa-cabbage,green-leaf-lettuce,2,6
napa-cabbage,red-onion,2,6
napa-cabbage,ribeye,2,6
napa-cabbage,romaine-lettuce,2,6
napa-cabbage,acorn-squash,1,6
napa-cabbage,asparagus,1,6
napa-cabbage,bell-pepper,1,6
napa-cabbage,blueberry,1,6
napa-cabbage,broccoli,1,6
napa-cabbage,cauliflower,1,6
napa-cabbage,celery,1,6
napa-cabbage,cherry-tomato,1,6
napa-cabbage,collard-greens,1,6
napa-cabbage,corn-on-the-cob,1,6
napa-cabbage,garlic,1,6
napa-cabbage,grapefruit,1,6
napa-cabbage,green-beans,1,6
napa-cabbage,ground-pork,1,6
napa-cabbage,iceberg-lettuce,1,6
napa-cabbage,jalapeno,1,6
napa-cabbage,kale,1,6
napa-cabbage,lime,1,6
napa-cabbage,parsley,1,6
napa-cabbage,poblano-pepper,1,6
napa-cabbage,pork-loin,1,6
napa-cabbage,pork-shoulder,1,6
napa-cabbage,red-leaf-lettuce,1,6
napa-cabbage,red-potato,1,6
napa-cabbage,serrano-pepper,1,6
napa-cabbage,striploin,1,6
napa-cabbage,watermelon,1,6
okra,artichoke,2,6
okra,beet,2,6
okra,celery,2,6
okra,green-beans,2,6
okra,zucchini,2,6
okra,cucumber,1,6
okra,iceberg-lettuce,1,6
okra,lime,1,6
okra,poblano-pepper,1,6
okra,raspberry,1,6
okra,red-leaf-lettuce,1,6
okra,romaine-lettuce,1,6
okra,watermelon,1,6
onion,short-rib,3,6
onion,pineapple,2,6
onion,pumpkin,2,6
onion,red-potato,2,6
onion,russet-potato,2,6
onion,apple,1,6
onion,beef-tenderloin,1,6
onion,beet,1,6
onion,bell-pepper,1,6
onion,broccoli,1,6
onion,butter-lettuce,1,6
onion,butternut-squash,1,6
onion,cucumber,1,6
onion,lemon,1,6
onion,pork-loin,1,6
onion,red-onion,1,6
onion,whole-chicken,1,6
parsley,romaine-lettuce,2,6
parsley,asparagus,1,6
parsley,blueberry,1,6
parsley,broccoli,1,6
parsley,cantaloupe,1,6
parsley,cauliflower,1,6
parsley,celery,1,6
parsley,corn-on-the-cob,1,6
parsley,cucumber,1,6
parsley,eggplant,1,6
parsley,green-leaf-lettuce,1,6
parsley,iceberg-lettuce,1,6
parsley,jalapeno,1,6
parsley,napa-cabbage,1,6
parsley,pear,1,6
parsley,pork-loin,1,6
parsley,pumpkin,1,6
parsley,raspberry,1,6
parsley,red-leaf-lettuce,1,6
parsley,red-onion,1,6
parsley,ribeye,1,6
parsley,striploin,1,6
parsley,tomato,1,6
parsley,watermelon,1,6
parsley,yellow-squash,1,6
pear,carrot,2,6
pear,rutabaga,2,6
pear,asparagus,1,6
pear,butternut-squash,1,6
pear,cantaloupe,1,6
pear,cauliflower,1,6
pear,celery,1,6
pear,collard-greens,1,6
pear,eggs,1,6
pear,garlic,1,6
pear,leek,1,6
pear,lime,1,6
pear,parsley,1,6
pear,russet-potato,1,6
pear,striploin,1,6
pineapple,cabbage,2,6
pineapple,onion,2,6
pineapple,avocado,1,6
pineapple,bell-pepper,1,6
pineapple,blueberry,1,6
pineapple,pumpkin,1,6
pineapple,whole-chicken,1,6
poblano-pepper,jalapeno,2,6
poblano-pepper,spinach,2,6
poblano-pepper,asparagus,1,6
poblano-pepper,broccoli,1,6
poblano-pepper,cabbage,1,6
poblano-pepper,carrot,1,6
poblano-pepper,celery,1,6
poblano-pepper,cheddar-cheese,1,6
poblano-pepper,cherry-tomato,1,6
poblano-pepper,chicken-breast,1,6
poblano-pepper,chicken-thigh,1,6
poblano-pepper,dill,1,6
poblano-pepper,green-beans,1,6
poblano-pepper,lime,1,6
poblano-pepper,napa-cabbage,1,6
poblano-pepper,okra,1,6
poblano-pepper,pork-loin,1,6
poblano-pepper,red-leaf-lettuce,1,6
poblano-pepper,tomato,1,6
poblano-pepper,vegetable-oil,1,6
poblano-pepper,zucchini,1,6
pork-loin,beet,2,6
pork-loin,ground-pork,2,6
pork-loin,pork-shoulder,2,6
pork-loin,ribeye,2,6
pork-loin,striploin,2,6
pork-loin,beef-tenderloin,1,6
pork-loin,cantaloupe,1,6
pork-loin,garlic,1,6
pork-loin,lime,1,6
pork-loin,napa-cabbage,1,6
pork-loin,onion,1,6
pork-loin,parsley,1,6
pork-loin,poblano-pepper,1,6
pork-loin,red-potato,1,6
pork-loin,russet-potato,1,6
pork-loin,vegetable-oil,1,6
pork-shoulder,ground-pork,6,6
pork-shoulder,pork-loin,2,6
pork-shoulder,striploin,2,6
pork-shoulder,asparagus,1,6
pork-shoulder,beef-tenderloin,1,6
pork-shoulder,bell-pepper,1,6
pork-shoulder,chicken-breast,1,6
pork-shoulder,chicken-thigh,1,6
pork-shoulder,collard-greens,1,6
pork-shoulder,dill,1,6
pork-shoulder,garlic,1,6
pork-shoulder,napa-cabbage,1,6
pork-shoulder,red-potato,1,6
pork-shoulder,ribeye,1,6
pork-shoulder,vegetable-oil,1,6
pumpkin,onion,2,6
pumpkin,watermelon,2,6
pumpkin,blueberry,1,6
pumpkin,cabbage,1,6
pumpkin,eggplant,1,6
pumpkin,grapefruit,1,6
pumpkin,lemon,1,6
pumpkin,parsley,1,6
pumpkin,pineapple,1,6
pumpkin,raspberry,1,6
pumpkin,red-potato,1,6
pumpkin,romaine-lettuce,1,6
pumpkin,russet-potato,1,6
pumpkin,short-rib,1,6
pumpkin,whole-chicken,1,6
raspberry,romaine-lettuce,3,6
raspberry,red-leaf-lettuce,2,6
raspberry,watermelon,2,6
raspberry,zucchini,2,6
raspberry,acorn-squash,1,6
raspberry,beef-tenderloin,1,6
raspberry,beet,1,6
raspberry,brussels-sprouts,1,6
raspberry,celery,1,6
raspberry,corn-on-the-cob,1,6
raspberry,ginger,1,6
raspberry,green-beans,1,6
raspberry,green-onion,1,6
raspberry,habanero-pepper,1,6
raspberry,iceberg-lettuce,1,6
raspberry,kale,1,6
raspberry,lime,1,6
raspberry,mint,1,6
raspberry,okra,1,6
raspberry,parsley,1,6
raspberry,pumpkin,1,6
raspberry,red-onion,1,6
raspberry,spinach,1,6
raspberry,vegetable-oil,1,6
raspberry,whole-chicken,1,6
red-leaf-lettuce,iceberg-lettuce,5,6
red-leaf-lettuce,romaine-lettuce,5,6
red-leaf-lettuce,green-leaf-lettuce,4,6
red-leaf-lettuce,broccoli,3,6
red-leaf-lettuce,butter-lettuce,3,6
red-leaf-lettuce,celery,2,6
red-leaf-lettuce,cucumber,2,6
red-leaf-lettuce,raspberry,2,6
red-leaf-lettuce,spinach,2,6
red-leaf-lettuce,zucchini,2,6
red-leaf-lettuce,asparagus,1,6
red-leaf-lettuce,beet,1,6
red-leaf-lettuce,cabbage,1,6
red-leaf-lettuce,cauliflower,1,6
red-leaf-lettuce,corn-on-the-cob,1,6
red-leaf-lettuce,eggplant,1,6
red-leaf-lettuce,green-beans,1,6
red-leaf-lettuce,green-onion,1,6
red-leaf-lettuce,kale,1,6
red-leaf-lettuce,leek,1,6
red-leaf-lettuce,lime,1,6
red-leaf-lettuce,napa-cabbage,1,6
red-leaf-lettuce,okra,1,6
red-leaf-lettuce,parsley,1,6
red-leaf-lettuce,poblano-pepper,1,6
red-leaf-lettuce,red-potato,1,6
red-leaf-lettuce,serrano-pepper,1,6
red-leaf-lettuce,tomato,1,6
red-leaf-lettuce,watermelon,1,6
red-onion,butternut-squash,3,6
red-onion,eggplant,3,6
red-onion,bell-pepper,2,6
red-onion,brussels-sprouts,2,6
red-onion,collard-greens,2,6
red-onion,jalapeno,2,6
red-onion,kale,2,6
red-onion,napa-cabbage,2,6
red-onion,serrano-pepper,2,6
red-onion,acorn-squash,1,6
red-onion,artichoke,1,6
red-onion,asparagus,1,6
red-onion,avocado,1,6
red-onion,beet,1,6
red-onion,butter-lettuce,1,6
red-onion,cabbage,1,6
red-onion,celery,1,6
red-onion,cherry-tomato,1,6
red-onion,corn-on-the-cob,1,6
red-onion,cucumber,1,6
red-onion,leek,1,6
red-onion,onion,1,6
red-onion,parsley,1,6
red-onion,raspberry,1,6
red-onion,red-potato,1,6
red-onion,watermelon,1,6
red-potato,butter-lettuce,2,6
red-potato,onion,2,6
red-potato,acorn-squash,1,6
red-potato,asparagus,1,6
red-potato,avocado,1,6
red-potato,butternut-squash,1,6
red-potato,celery,1,6
red-potato,garlic,1,6
red-potato,green-leaf-lettuce,1,6
red-potato,ground-pork,1,6
red-potato,iceberg-lettuce,1,6
red-potato,lemon,1,6
red-potato,napa-cabbage,1,6
red-potato,pork-loin,1,6
red-potato,pork-shoulder,1,6
red-potato,pumpkin,1,6
red-potato,red-leaf-lettuce,1,6
red-potato,red-onion,1,6
red-potato,ribeye,1,6
red-potato,romaine-lettuce,1,6
red-potato,russet-potato,1,6
red-potato,rutabaga,1,6
red-potato,serrano-pepper,1,6
red-potato,short-rib,1,6
red-potato,snow-peas,1,6
red-potato,striploin,1,6
ribeye,garlic,2,6
ribeye,napa-cabbage,2,6
ribeye,pork-loin,2,6
ribeye,striploin,2,6
ribeye,acorn-squash,1,6
ribeye,artichoke,1,6
ribeye,asparagus,1,6
ribeye,beef-tenderloin,1,6
ribeye,broccoli,1,6
ribeye,butternut-squash,1,6
ribeye,cantaloupe,1,6
ribeye,cauliflower,1,6
ribeye,celery,1,6
ribeye,ground-pork,1,6
ribeye,iceberg-lettuce,1,6
ribeye,jalapeno,1,6
ribeye,leek,1,6
ribeye,lime,1,6
ribeye,parsley,1,6
ribeye,pork-shoulder,1,6
ribeye,red-potato,1,6
ribeye,short-rib,1,6
ribeye,vegetable-oil,1,6
romaine-lettuce,red-leaf-lettuce,5,6
romaine-lettuce,iceberg-lettuce,4,6
romaine-lettuce,broccoli,3,6
romaine-lettuce,green-leaf-lettuce,3,6
romaine-lettuce,raspberry,3,6
romaine-lettuce,butter-lettuce,2,6
romaine-lettuce,celery,2,6
romaine-lettuce,cucumber,2,6
romaine-lettuce,napa-cabbage,2,6
romaine-lettuce,parsley,2,6
romaine-lettuce,tomato,2,6
romaine-lettuce,watermelon,2,6
romaine-lettuce,zucchini,2,6
romaine-lettuce,asparagus,1,6
romaine-lettuce,beet,1,6
romaine-lettuce,blueberry,1,6
romaine-lettuce,cabbage,1,6
romaine-lettuce,cauliflower,1,6
romaine-lettuce,corn-on-the-cob,1,6
romaine-lettuce,eggplant,1,6
romaine-lettuce,grapefruit,1,6
romaine-lettuce,green-beans,1,6
romaine-lettuce,kale,1,6
romaine-lettuce,lime,1,6
romaine-lettuce,okra,1,6
romaine-lettuce,pumpkin,1,6
romaine-lettuce,red-potato,1,6
romaine-lettuce,spinach,1,6
russet-potato,carrot,2,6
russet-potato,onion,2,6
russet-potato,apple,1,6
russet-potato,bell-pepper,1,6
russet-potato,cheddar-cheese,1,6
russet-potato,chicken-breast,1,6
russet-potato,chicken-thigh,1,6
russet-potato,cucumber,1,6
russet-potato,green-beans,1,6
russet-potato,green-onion,1,6
russet-potato,leek,1,6
russet-potato,lemon,1,6
russet-potato,pear,1,6
russet-potato,pork-loin,1,6
russet-potato,pumpkin,1,6
russet-potato,red-potato,1,6
russet-potato,rutabaga,1,6
russet-potato,spinach,1,6
russet-potato,vegetable-oil,1,6
rutabaga,carrot,4,6
rutabaga,apple,2,6
rutabaga,grapefruit,2,6
rutabaga,lemon,2,6
rutabaga,pear,2,6
rutabaga,bell-pepper,1,6
rutabaga,broccoli,1,6
rutabaga,brussels-sprouts,1,6
rutabaga,cauliflower,1,6
rutabaga,leek,1,6
rutabaga,red-potato,1,6
rutabaga,russet-potato,1,6
serrano-pepper,collard-greens,2,6
serrano-pepper,green-onion,2,6
serrano-pepper,red-onion,2,6
serrano-pepper,acorn-squash,1,6
serrano-pepper,avocado,1,6
serrano-pepper,bell-pepper,1,6
serrano-pepper,brussels-sprouts,1,6
serrano-pepper,butter-lettuce,1,6
serrano-pepper,corn-on-the-cob,1,6
serrano-pepper,eggplant,1,6
serrano-pepper,garlic,1,6
serrano-pepper,grapefruit,1,6
serrano-pepper,green-leaf-lettuce,1,6
serrano-pepper,habanero-pepper,1,6
serrano-pepper,iceberg-lettuce,1,6
serrano-pepper,jalapeno,1,6
serrano-pepper,kale,1,6
serrano-pepper,leek,1,6
serrano-pepper,napa-cabbage,1,6
serrano-pepper,red-leaf-lettuce,1,6
serrano-pepper,red-potato,1,6
serrano-pepper,spinach,1,6
serrano-pepper,tomato,1,6
short-rib,onion,3,6
short-rib,beef-tenderloin,2,6
short-rib,apple,1,6
short-rib,broccoli,1,6
short-rib,butter-lettuce,1,6
short-rib,carrot,1,6
short-rib,cherry-tomato,1,6
short-rib,eggplant,1,6
short-rib,green-beans,1,6
short-rib,kale,1,6
short-rib,pumpkin,1,6
short-rib,red-potato,1,6
short-rib,ribeye,1,6
short-rib,yellow-squash,1,6
snow-peas,avocado,2,6
snow-peas,artichoke,1,6
snow-peas,bell-pepper,1,6
snow-peas,blueberry,1,6
snow-peas,brussels-sprouts,1,6
snow-peas,butter,1,6
snow-peas,cantaloupe,1,6
snow-peas,cauliflower,1,6
snow-peas,celery,1,6
snow-peas,cherry-tomato,1,6
snow-peas,corn-on-the-cob,1,6
snow-peas,eggplant,1,6
snow-peas,garlic,1,6
snow-peas,grapefruit,1,6
snow-peas,red-potato,1,6
snow-peas,spinach,1,6
snow-peas,tomato,1,6
snow-peas,yellow-squash,1,6
spinach,poblano-pepper,2,6
spinach,red-leaf-lettuce,2,6
spinach,apple,1,6
spinach,asparagus,1,6
spinach,avocado,1,6
spinach,broccoli,1,6
spinach,butter-lettuce,1,6
spinach,cabbage,1,6
spinach,carrot,1,6
spinach,cherry-tomato,1,6
spinach,chicken-breast,1,6
spinach,ginger,1,6
spinach,green-beans,1,6
spinach,green-leaf-lettuce,1,6
spinach,green-onion,1,6
spinach,iceberg-lettuce,1,6
spinach,kale,1,6
spinach,leek,1,6
spinach,raspberry,1,6
spinach,romaine-lettuce,1,6
spinach,russet-potato,1,6
spinach,serrano-pepper,1,6
spinach,snow-peas,1,6
spinach,tomato,1,6
spinach,watermelon,1,6
spinach,whole-chicken,1,6
spinach,zucchini,1,6
striploin,ground-pork,2,6
striploin,pork-loin,2,6
striploin,pork-shoulder,2,6
striploin,ribeye,2,6
striploin,acorn-squash,1,6
striploin,asparagus,1,6
striploin,avocado,1,6
striploin,beet,1,6
striploin,brussels-sprouts,1,6
striploin,cauliflower,1,6
striploin,collard-greens,1,6
striploin,garlic,1,6
striploin,jalapeno,1,6
striploin,lime,1,6
striploin,napa-cabbage,1,6
striploin,parsley,1,6
striploin,pear,1,6
striploin,red-potato,1,6
striploin,vegetable-oil,1,6
tomato,cherry-tomato,3,6
tomato,butter-lettuce,2,6
tomato,cantaloupe,2,6
tomato,cucumber,2,6
tomato,iceberg-lettuce,2,6
tomato,romaine-lettuce,2,6
tomato,apple,1,6
tomato,artichoke,1,6
tomato,beet,1,6
tomato,bell-pepper,1,6
tomato,blueberry,1,6
tomato,cabbage,1,6
tomato,carrot,1,6
tomato,chicken-breast,1,6
tomato,chicken-thigh,1,6
tomato,corn-on-the-cob,1,6
tomato,dill,1,6
tomato,eggplant,1,6
tomato,grapefruit,1,6
tomato,green-beans,1,6
tomato,green-leaf-lettuce,1,6
tomato,green-onion,1,6
tomato,jalapeno,1,6
tomato,parsley,1,6
tomato,poblano-pepper,1,6
tomato,red-leaf-lettuce,1,6
tomato,serrano-pepper,1,6
tomato,snow-peas,1,6
tomato,spinach,1,6
tomato,vegetable-oil,1,6
tomato,watermelon,1,6
tomato,yellow-squash,1,6
tomato,zucchini,1,6
vegetable-oil,carrot,2,6
vegetable-oil,jalapeno,2,6
vegetable-oil,acorn-squash,1,6
vegetable-oil,beef-tenderloin,1,6
vegetable-oil,bell-pepper,1,6
vegetable-oil,butternut-squash,1,6
vegetable-oil,cherry-tomato,1,6
vegetable-oil,chicken-breast,1,6
vegetable-oil,chicken-thigh,1,6
vegetable-oil,dill,1,6
vegetable-oil,green-beans,1,6
vegetable-oil,ground-pork,1,6
vegetable-oil,poblano-pepper,1,6
vegetable-oil,pork-loin,1,6
vegetable-oil,pork-shoulder,1,6
vegetable-oil,raspberry,1,6
vegetable-oil,ribeye,1,6
vegetable-oil,russet-potato,1,6
vegetable-oil,striploin,1,6
vegetable-oil,tomato,1,6
watermelon,asparagus,2,6
watermelon,cabbage,2,6
watermelon,cherry-tomato,2,6
watermelon,green-beans,2,6
watermelon,pumpkin,2,6
watermelon,raspberry,2,6
watermelon,romaine-lettuce,2,6
watermelon,acorn-squash,1,6
watermelon,bell-pepper,1,6
watermelon,broccoli,1,6
watermelon,brussels-sprouts,1,6
watermelon,butter,1,6
watermelon,cantaloupe,1,6
watermelon,corn-on-the-cob,1,6
watermelon,garlic,1,6
watermelon,habanero-pepper,1,6
watermelon,jalapeno,1,6
watermelon,kale,1,6
watermelon,napa-cabbage,1,6
watermelon,okra,1,6
watermelon,parsley,1,6
watermelon,red-leaf-lettuce,1,6
watermelon,red-onion,1,6
watermelon,spinach,1,6
watermelon,tomato,1,6
watermelon,yellow-squash,1,6
watermelon,zucchini,1,6
whole-chicken,bell-pepper,1,3
whole-chicken,brussels-sprouts,1,3
whole-chicken,ginger,1,3
whole-chicken,green-beans,1,3
whole-chicken,green-onion,1,3
whole-chicken,mint,1,3
whole-chicken,onion,1,3
whole-chicken,pineapple,1,3
whole-chicken,pumpkin,1,3
whole-chicken,raspberry,1,3
whole-chicken,spinach,1,3
whole-turkey,bok-choy,1,1
yellow-squash,cherry-tomato,4,6
yellow-squash,bell-pepper,2,6
yellow-squash,green-beans,2,6
yellow-squash,habanero-pepper,2,6
yellow-squash,zucchini,2,6
yellow-squash,beef-tenderloin,1,6
yellow-squash,blueberry,1,6
yellow-squash,cabbage,1,6
yellow-squash,corn-on-the-cob,1,6
yellow-squash,cucumber,1,6
yellow-squash,jalapeno,1,6
yellow-squash,parsley,1,6
yellow-squash,short-rib,1,6
yellow-squash,snow-peas,1,6
yellow-squash,tomato,1,6
yellow-squash,watermelon,1,6
zucchini,cucumber,3,6
zucchini,broccoli,2,6
zucchini,cabbage,2,6
zucchini,cauliflower,2,6
zucchini,green-beans,2,6
zucchini,okra,2,6
zucchini,raspberry,2,6
zucchini,red-leaf-lettuce,2,6
zucchini,romaine-lettuce,2,6
zucchini,yellow-squash,2,6
zucchini,artichoke,1,6
zucchini,asparagus,1,6
zucchini,beet,1,6
zucchini,celery,1,6
zucchini,cherry-tomato,1,6
zucchini,corn-on-the-cob,1,6
zucchini,eggplant,1,6
zucchini,habanero-pepper,1,6
zucchini,iceberg-lettuce,1,6
zucchini,jalapeno,1,6
zucchini,kale,1,6
zucchini,leek,1,6
zucchini,lime,1,6
zucchini,poblano-pepper,1,6
zucchini,spinach,1,6
zucchini,tomato,1,6
zucchini,watermelon,1,6
