slug,name,category,posture,band_pct,withhold_reason,coverage_pct,edible_yield_pct,trim_tax,cheapest_month,save_pct,comover,comover_shared,comover_of,comover_withheld_reason
acorn-squash,Acorn squash,fruiting,lock,6,,77,70,1.43,12,26,,,,below_threshold
banana,Banana,fruit,lock,0.6,,77,65,1.54,,,Apple,1,2,
beef-tenderloin,Beef tenderloin,beef,lock,3.5,,75,85,1.18,7,20,,,,below_threshold
beet,Beet,root,lock,6.1,,76,75,1.33,8,21,,,,below_threshold
bok-choy,Bok choy,greens,lock,5.8,,78,80,1.25,3,34,,,,below_threshold
butter,"Butter (AA, bulk)",,lock,4.4,,75,,,5,22,,,,below_threshold
butter-lettuce,Butter lettuce,greens,lock,5.8,,75,65,1.54,,,Green leaf lettuce,3,6,
butternut-squash,Butternut squash,fruiting,lock,3.8,,74,70,1.43,1,19,Red onion,3,6,
cabbage,Cabbage,cruciferous,lock,6.6,,74,80,1.25,,,Kale,3,6,
cheddar-cheese,Cheddar cheese,,lock,2.5,,75,,,,,,,,below_threshold
cilantro,Cilantro,herbs,lock,1.2,,79,70,1.43,1,19,,,,below_threshold
daikon,Daikon radish,root,lock,4.4,,80,85,1.18,,,,,,below_threshold
dill,Dill,herbs,lock,2.9,,78,65,1.54,,,,,,below_threshold
eggplant,Eggplant,fruiting,lock,7.1,,75,81,1.23,1,33,Red onion,3,6,
garlic,Garlic,allium,lock,3.6,,73,87,1.15,6,17,,,,below_threshold
ginger,Ginger root,root,lock,4.4,,76,85,1.18,9,32,,,,below_threshold
grapefruit,Grapefruit,citrus,lock,3.4,,73,50,2,,,Apple,3,6,
habanero-pepper,Habanero pepper,fruiting,lock,3.9,,76,85,1.18,7,23,,,,below_threshold
leek,Leek,allium,lock,1.5,,73,50,2,,,Artichoke,3,6,
lemon,Lemon,citrus,lock,7.1,,73,45,2.22,3,40,,,,below_threshold
mint,Mint,herbs,lock,6,,79,70,1.43,,,,,,below_threshold
onion,Onion,allium,lock,5.4,,73,88,1.14,12,44,Short rib,3,6,
pear,Pear,fruit,lock,1.3,,75,78,1.28,3,18,,,,below_threshold
pineapple,Pineapple,fruit,lock,5.3,,74,50,2,11,36,,,,below_threshold
