slug,name,category,posture,band_pct,edible_yield_pct,trim_tax,cooked_yield,cheapest_month,save_pct,hedge_swap,pressure_dir,pressure_conf,us_import_value_usd,us_export_value_usd,us_production_usd,us_landings_value_usd,us_landings_year,us_landings_wild_minimal,import_mostly_farmed,farm_price,farm_price_unit,import_reliance_pct,import_reliance_year,import_reliance_scope,import_years,import_peak_months,import_peak_quarter_share,import_hs6,import_yoy_pct,import_source_concentration,import_source_hhi,import_top_sources,notable_events_n,median_shock_days,biggest_move_pct,biggest_move_date,comovers
whole-salmon,Whole salmon,seafood,withhold,,55,1.82,0.8,,,,,,1084355850,59735771,,394064185,2024,false,true,,,,,,2012-2025,3;5;6,27,030214,-9.1,concentrated,0.28,Canada:47%;United Kingdom:16%;Faroe Islands:14%,,,,,
whole-trout,Whole trout,seafood,withhold,,55,1.82,0.8,,,,,,52131098,4224600,,124217,2024,true,true,,,,,,2010-2025,3;5;9,26,030211,5.4,concentrated,0.65,Norway:80%;Canada:8%;Colombia:6%,,,,,
zucchini,Zucchini,fruiting,withhold,43,95,1.05,,4,42,Cucumber,steady,low,189586663,26608205,229372000,,,,,36.1,$ / CWT,48,2025,commodity,2022-2025,1;2;3,47,0709932055+0709932020,-16.7,single-source,0.91,Mexico:95%;Canada:4%;Guatemala:1%,6,77,364,2011-02-23,cucumber:3/6;broccoli:2/6;cabbage:2/6
tomatillo,Tomatillo,fruiting,,,,,,,,,,,136617347,62313455,,,,,,,,,,,2021-2024,1;11;12,28,0810904610,15.9,,,,,,,,
plantain,Plantain,fruit,,,,,,,,,,,407166305,5961273,,,,,,,,,,,2012-2025,8;9;10,26,0803101000,22.5,concentrated,0.33,Guatemala:50%;Ecuador:21%;Colombia:19%,,,,,
chayote,Chayote,fruiting,,,,,,,,,,,54268762,156793006,,,,,,,,,,,2012-2025,3;10;11,28,0709991000,-8.5,concentrated,0.52,Mexico:60%;Costa Rica:40%;Guatemala:0%,,,,,
jicama,Jicama,root,,,,,,,,,,,23517226,156793006,,,,,,,,,,,2012-2025,1;3;4,31,0709990500,-17.1,concentrated,0.76,Mexico:86%;Dominican Republic:13%;Jamaica:0%,,,,,
nopales,Nopales (cactus paddles),greens,,,,,,,,,,,18386169,156793006,,,,,,,,,,,2023-2025,2;3;10,28,0709999030,-12.1,single-source,1,Mexico:100%,,,,,
blue-cheese,Blue cheese,dairy,,,,,,,,,,,33398354,2210567,,,,,,,,,,,2010-2025,9;10;11,29,040640,-7.3,diversified,0.21,France:27%;Denmark:25%;Germany:24%,,,,,
parmesan,Parmesan (Italian grating cheese),dairy,,,,,,,,,,,156315447,1275420523,,,,,,,,,,,2010-2025,10;11;12,28,0406904100+0406904200+0406904300,-46,single-source,0.85,Italy:92%;Argentina:3%;Lithuania:2%,,,,,
pecorino,Pecorino (sheep's-milk cheese),dairy,,,,,,,,,,,403169168,1275420523,,,,,,,,,,,2010-2025,8;10;11,27,0406905600+0406905700+0406905900,-6.9,concentrated,0.28,Italy:44%;Spain:23%;Greece:16%,,,,,
prosciutto,Prosciutto & cured ham,meat,,,,,,,,,,,291007582,105535931,,,,,,,,,,,2010-2025,8;10;11,29,0210110010+0210190090,3.9,concentrated,0.61,Italy:76%;Spain:17%;Canada:4%,,,,,
snapper,Snapper,seafood,,,,,,,,,,,205648874,420050494,,59688126,2024,false,false,,,,,,2012-2025,7;8;12,27,0302895058+0303890067,4.7,diversified,0.17,Mexico:29%;Brazil:24%;Nicaragua:8%,,,,,
grouper,Grouper,seafood,,,,,,,,,,,62002605,420050494,,22694263,2024,false,false,,,,,,2012-2025,1;4;7,26,0302895061+0303890070,-12.4,concentrated,0.31,Mexico:51%;Brazil:18%;Panama:10%,,,,,
mahi-mahi,Mahi-mahi,seafood,,,,,,,,,,,43192804,15217009,,2689772,2024,true,false,,,,,,2012-2025,2;3;4,29,0302895072,-21.9,concentrated,0.52,Ecuador:71%;Guatemala:7%;Panama:7%,,,,,
dover-sole,Sole (Dover/lemon),seafood,,,,,,,,,,,19640862,7138056,,3028884,2024,true,false,,,,,,2010-2025,3;4;5,30,0302230000+0303330000,-12.8,concentrated,0.46,Netherlands:62%;Spain:27%;Iceland:4%,,,,,
strawberry,Strawberry,fruit,,,,,,,,,,,1034135901,552428586,4397856000,,,,,141,$ / CWT,21,2025,item,2010-2025,1;2;3,59,081010,-11.5,single-source,0.95,"Mexico:98%;Canada:2%;Korea, South:0%",,,,,
grapes,Grapes (table),fruit,,,,,,,,,,,2589597910,683614569,1676124000,,,,,,,72,2025,item,2010-2025,1;3;6,47,080610,11.1,concentrated,0.35,Peru:47%;Chile:29%;Mexico:21%,,,,,
mango,Mango,fruit,,,,,,,,,,,925453481,14940255,,,,,,,,,,,2010-2025,5;6;7,32,080450,1.1,concentrated,0.37,Mexico:58%;Peru:16%;Ecuador:7%,,,,,
kiwi,Kiwi,fruit,,,,,,,,,,,346923331,28598819,112716000,,,,,2790,$ / TON,80,2025,item,2010-2025,5;6;7,35,081050,25,concentrated,0.38,New Zealand:56%;Italy:17%;Greece:16%,,,,,
papaya,Papaya,fruit,,,,,,,,,,,144816481,8674019,6257000,,,,,0.72,$ / LB,102,2025,item,2010-2025,4;5;6,28,080720,0.2,concentrated,0.8,Mexico:89%;Guatemala:7%;Brazil:2%,,,,,
