slug,name,category,posture,band_pct,edible_yield_pct,trim_tax,cooked_yield,cheapest_month,save_pct,hedge_swap,pressure_dir,pressure_conf,us_import_value_usd,us_export_value_usd,us_production_usd,us_landings_value_usd,us_landings_year,us_landings_wild_minimal,import_mostly_farmed,farm_price,farm_price_unit,import_reliance_pct,import_reliance_year,import_reliance_scope,import_years,import_peak_months,import_peak_quarter_share,import_hs6,import_yoy_pct,import_source_concentration,import_source_hhi,import_top_sources,notable_events_n,median_shock_days,biggest_move_pct,biggest_move_date,comovers
acorn-squash,Acorn squash,fruiting,lock,6,70,1.43,,12,26,,steady,low,11228504,26608205,229372000,,,,,36.1,$ / CWT,48,2025,commodity,2023-2025,1;2;11,46,0709932085+0709932035,-0.5,single-source,0.95,Mexico:98%;Canada:2%;Honduras:0%,6,70,183,2004-03-31,avocado:2/6;bell-pepper:1/6;butternut-squash:1/6
banana,Banana,fruit,lock,0.6,65,1.54,,,,Apple,,,2513367507,26546955,6028000,,,,,,,101,2017,item,2012-2025,3;4;5,26,080390,2.5,diversified,0.22,Guatemala:37%;Ecuador:20%;Costa Rica:14%,2,7,56,2002-10-09,apple:1/2;beet:1/2;broccoli:1/2
beef-tenderloin,Beef tenderloin,beef,lock,3.5,85,1.18,0.75,7,20,,building,low,1094021575,6617992660,99769907000,,,,,417,$ / CWT,5,2025,commodity,2017-2025,3;6;10,26,0201305045+0202305045,8,concentrated,0.36,Canada:53%;Australia:22%;Mexico:17%,6,77,-75,2001-06-13,artichoke:2/6;short-rib:2/6;butter:1/6
beet,Beet,root,lock,6.1,75,1.33,,8,21,,steady,low,18810421,21393136,27717000,,,,,,,75,2025,item,2010-2025,2;3;4,32,0706903000,-15.4,concentrated,0.46,Canada:51%;Mexico:45%;Netherlands:2%,6,84,58,2014-02-19,celery:2/6;cucumber:2/6;okra:2/6
bok-choy,Bok choy,greens,lock,5.8,80,1.25,,3,34,,steady,low,36039047,178881774,123964000,,,,,,,,,,2022-2025,1;9;12,28,0704904015,-9.4,concentrated,0.66,Mexico:78%;Canada:22%,4,35,63,2024-08-14,cilantro:1/4;collard-greens:1/4;dill:1/4
butter,"Butter (AA, bulk)",,lock,4.4,,,,5,22,,steady,low,403587927,508739314,,,,,,,,,,,2010-2025,9;10;11,27,040510,-42.7,concentrated,0.37,Ireland:46%;New Zealand:38%;France:7%,5,98,47,2014-10-04,cheddar-cheese:2/5;beef-tenderloin:1/5;blueberry:1/5
butter-lettuce,Butter lettuce,greens,lock,5.8,65,1.54,,,,Green leaf lettuce,building,moderate,6685468,452139992,1377605000,,,,,85.7,$ / CWT,12,2025,commodity,2023-2025,1;2;3,40,0705194040+0705192040,-21.3,single-source,0.86,Canada:92%;Mexico:8%,6,28,165,2004-12-15,green-leaf-lettuce:3/6;iceberg-lettuce:3/6;red-leaf-lettuce:3/6
butternut-squash,Butternut squash,fruiting,lock,3.8,70,1.43,,1,19,Red onion,steady,low,38481563,26608205,229372000,,,,,36.1,$ / CWT,48,2025,commodity,2023-2025,1;11;12,36,0709932060+0709932022,-0.3,single-source,0.91,Mexico:95%;Canada:2%;Honduras:2%,6,56,800,2024-10-09,red-onion:3/6;celery:2/6;collard-greens:2/6
cabbage,Cabbage,cruciferous,lock,6.6,80,1.25,,,,Kale,steady,low,75894995,178881774,538302000,,,,,24.4,$ / CWT,17,2025,commodity,2010-2025,8;9;10,35,0704902000,-5.7,concentrated,0.5,Mexico:54%;Canada:46%;Costa Rica:0%,6,70,72,2016-01-13,kale:3/6;broccoli:2/6;jalapeno:2/6
cheddar-cheese,Cheddar cheese,,lock,2.5,,,,,,,,,1429354808,1275420523,,,,,,,,,,,2010-2025,10;11;12,30,040690,-15.5,diversified,0.11,Italy:24%;France:16%;Spain:9%,5,63,48,2020-11-14,butter:2/5;asparagus:1/5;beef-tenderloin:1/5
cilantro,Cilantro,herbs,lock,1.2,70,1.43,,1,19,,steady,low,80886723,156793006,,,,,,,,,,,2021-2025,1;2;12,30,0709999010,-17.2,single-source,0.91,Mexico:96%;Canada:3%;Costa Rica:1%,1,85,39,2024-07-10,bok-choy:1/1;dill:1/1
daikon,Daikon radish,root,lock,4.4,85,1.18,,,,,,,28227186,21393136,,,,,,,,,,,2010-2025,1;2;12,36,0706902000,-29.7,concentrated,0.48,"Mexico:62%;Canada:31%;Korea, South:7%",1,34,-24,2025-12-03,chicken-thigh:1/1;eggs:1/1
dill,Dill,herbs,lock,2.9,65,1.54,,,,,steady,low,,,,,,,,,,,,,,,,,,,,,5,48,135,2024-08-14,chicken-breast:2/5;chicken-thigh:2/5;bell-pepper:1/5
eggplant,Eggplant,fruiting,lock,7.1,81,1.23,,1,33,Red onion,steady,low,94754836,17060433,,,,,,,,,,,2010-2025,1;3;12,39,070930,-20.3,concentrated,0.77,Mexico:87%;Canada:6%;Honduras:5%,6,63,2264,2002-05-22,red-onion:3/6;butternut-squash:2/6;celery:2/6
garlic,Garlic,allium,lock,3.6,87,1.15,,6,17,,steady,low,262481127,13369793,244561000,,,,,70.2,$ / CWT,53,2025,item,2010-2025,1;2;12,27,070320,-9.3,concentrated,0.25,China:38%;Spain:22%;Argentina:16%,6,77,53,2014-10-01,asparagus:2/6;ribeye:2/6;artichoke:1/6
ginger,Ginger root,root,lock,4.4,85,1.18,,9,32,,,,118969213,1950139,2880000,,,,,,,99,2025,item,2012-2025,3;4;12,26,091011,-17,concentrated,0.3,Peru:41%;China:34%;Brazil:12%,3,98,25,2026-01-28,bok-choy:1/3;brussels-sprouts:1/3;collard-greens:1/3
grapefruit,Grapefruit,citrus,lock,3.4,50,2,,,,Apple,steady,low,33115896,26780866,153601000,,,,,17.81,"$ / BOX, ON TREE EQUIV",21,2025,item,2010-2025,7;8;9,46,080540,-16,concentrated,0.3,South Africa:47%;Vietnam:21%;Mexico:17%,6,105,54,2016-10-05,apple:3/6;carrot:2/6;lemon:2/6
habanero-pepper,Habanero pepper,fruiting,lock,3.9,85,1.18,,7,23,,,,93190843,110936104,106888000,,,,,41,$ / CWT,82,2025,commodity,2023-2025,3;4;5,29,0709602070,-8.1,single-source,0.88,Mexico:94%;Dominican Republic:5%;Canada:1%,6,56,68,2024-01-03,yellow-squash:2/6;butter-lettuce:1/6;celery:1/6
leek,Leek,allium,lock,1.5,50,2,,,,Artichoke,steady,low,23708144,5899602,,,,,,,,,,,2022-2025,1;2;3,35,0703900040,-33.3,concentrated,0.51,Mexico:67%;Canada:25%;Ecuador:4%,6,91,122,2003-11-12,artichoke:3/6;collard-greens:3/6;cauliflower:2/6
lemon,Lemon,citrus,lock,7.1,45,2.22,,3,40,,steady,low,971844855,143265469,729732000,,,,,19.36,"$ / BOX, ON TREE EQUIV",62,2025,item,2010-2025,7;8;9,33,080550,-9,concentrated,0.6,Mexico:76%;Colombia:11%;Chile:5%,6,120,92,2018-08-22,apple:2/6;cantaloupe:2/6;grapefruit:2/6
mint,Mint,herbs,lock,6,70,1.43,,,,,steady,low,,,59166000,,,,,23.9,$ / LB,,,,,,,,,,,,1,92,33,2025-12-31,brussels-sprouts:1/1;ginger:1/1;green-onion:1/1
onion,Onion,allium,lock,5.4,88,1.14,,12,44,Short rib,building,moderate,340952628,231202840,1599282000,,,,,19.6,$ / CWT,20,2025,commodity,2010-2025,3;5;11,27,070310,-30.3,concentrated,0.46,Mexico:64%;Peru:17%;Canada:15%,6,70,56,2007-04-18,short-rib:3/6;pineapple:2/6;pumpkin:2/6
pear,Pear,fruit,lock,1.3,78,1.28,,3,18,,steady,low,128221620,136791793,287315000,,,,,459,$ / TON,46,2025,item,2012-2025,3;4;5,39,080830,0.6,concentrated,0.38,"Argentina:54%;Korea, South:25%;Chile:12%",6,70,42,2010-07-07,carrot:2/6;rutabaga:2/6;asparagus:1/6
pineapple,Pineapple,fruit,lock,5.3,50,2,,11,36,,,,893627234,8790417,98520000,,,,,,,91,2025,item,2010-2025,4;5;6,29,080430,2.9,concentrated,0.7,Costa Rica:83%;Mexico:7%;Ecuador:3%,6,42,142,2011-08-10,cabbage:2/6;onion:2/6;avocado:1/6
poblano-pepper,Poblano pepper,fruiting,lock,2.9,80,1.25,,,,,,,40044645,110936104,106888000,,,,,41,$ / CWT,82,2025,commodity,2023-2025,1;2;3,38,0709602050,-21.9,single-source,1,Mexico:100%;Canada:0%,6,84,78,2022-01-05,jalapeno:2/6;spinach:2/6;asparagus:1/6
pork-belly,Pork belly,meat,lock,3.2,90,1.11,,,,,,,270149638,1349275333,30412004000,,,,,69.9,$ / CWT,2,2025,commodity,2010-2025,3;8;10,26,0203194010,11.3,single-source,0.9,Canada:95%;Mexico:5%;Brazil:0%,1,275,31,2014-06-01,
pork-loin,Pork loin,meat,lock,1.6,85,1.18,0.75,12,18,,building,moderate,619880426,2928080593,30412004000,,,,,69.9,$ / CWT,2,2025,commodity,2010-2025,3;4;6,26,020329,-3.1,diversified,0.15,Mexico:23%;Canada:20%;Denmark:16%,6,70,110,2020-05-13,beet:2/6;ground-pork:2/6;pork-shoulder:2/6
pork-shoulder,Pork shoulder,meat,lock,4.9,75,1.33,0.65,10,21,Ground pork,building,moderate,60286047,2028690834,30412004000,,,,,69.9,$ / CWT,2,2025,commodity,2010-2025,5;6;7,27,0203129020+0203229000,-29.6,concentrated,0.6,Canada:76%;Brazil:11%;Spain:6%,6,56,100,2020-05-20,ground-pork:6/6;pork-loin:2/6;striploin:2/6
red-onion,Red onion,allium,lock,5.8,88,1.14,,,,Butternut squash,,,340952628,231202840,1599282000,,,,,19.6,$ / CWT,20,2025,commodity,2010-2025,3;5;11,27,070310,-30.3,concentrated,0.46,Mexico:64%;Peru:17%;Canada:15%,6,126,130,2010-04-28,butternut-squash:3/6;eggplant:3/6;bell-pepper:2/6
red-potato,Red potato,tuber,lock,0.8,85,1.18,,6,26,,,,319512613,326517674,4619009000,,,,,11.2,$ / CWT,7,2025,commodity,2010-2025,1;3;11,30,070190,-5.4,single-source,1,Canada:100%;Mexico:0%;Colombia:0%,6,77,48,2020-06-10,butter-lettuce:2/6;onion:2/6;acorn-squash:1/6
ribeye,Ribeye,beef,lock,5.8,75,1.33,0.75,8,26,,building,low,589972925,6617992660,99769907000,,,,,417,$ / CWT,5,2025,commodity,2017-2025,8;10;11,27,0201305025+0202305025,-3.2,concentrated,0.34,Canada:51%;Mexico:24%;Australia:15%,6,49,40,2003-10-15,garlic:2/6;napa-cabbage:2/6;pork-loin:2/6
russet-potato,Russet potato,tuber,lock,4.5,81,1.23,,4,55,,building,high,319512613,326517674,4619009000,,,,,11.2,$ / CWT,7,2025,commodity,2010-2025,1;3;11,30,070190,-5.4,single-source,1,Canada:100%;Mexico:0%;Colombia:0%,6,63,61,2013-08-14,carrot:2/6;onion:2/6;apple:1/6
short-rib,Short rib,beef,lock,1.8,65,1.54,0.6,,,Onion,building,low,,,99769907000,,,,,417,$ / CWT,,,,,,,,,,,,6,98,-100,2001-06-20,onion:3/6;beef-tenderloin:2/6;apple:1/6
striploin,Striploin,beef,lock,3,80,1.25,0.75,9,40,,,,1094021575,6617992660,99769907000,,,,,417,$ / CWT,5,2025,commodity,2017-2025,3;6;10,26,0201305045+0202305045,8,concentrated,0.36,Canada:53%;Australia:22%;Mexico:17%,6,105,88,2020-05-27,ground-pork:2/6;pork-loin:2/6;pork-shoulder:2/6
vegetable-oil,Vegetable oil,,lock,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,273,59,2008-07-01,carrot:2/6;jalapeno:2/6;acorn-squash:1/6
whole-chicken,Whole chicken,meat,lock,5.7,60,1.67,0.75,5,47,,steady,low,,,44567421000,,,,,,,,,,,,,,,,,,3,77,43,2025-08-18,bell-pepper:1/3;brussels-sprouts:1/3;ginger:1/3
whole-turkey,Whole turkey,meat,lock,0.8,50,2,0.7,,,,,,,,5583516000,,,,,,,,,,,,,,,,,,1,28,-21,2025-02-03,bok-choy:1/1
apple,Apple,fruit,cushion,19.6,78,1.28,,,,Grapefruit,steady,low,120429044,1059908853,2367942000,,,,,0.263,$ / LB,8,2025,item,2010-2025,5;6;7,50,080810,-5.6,concentrated,0.33,Chile:43%;Canada:29%;New Zealand:25%,6,49,-52,2026-06-17,grapefruit:3/6;broccoli:2/6;lemon:2/6
artichoke,Artichoke,stalks,cushion,11.5,40,2.5,,8,45,Leek,steady,low,2201328,5445714,86583000,,,,,133,$ / CWT,3,2025,item,2012-2025,1;2;3,69,070991,-28.1,single-source,0.93,Mexico:96%;Egypt:3%;Costa Rica:0%,6,63,113,2019-12-31,leek:3/6;beef-tenderloin:2/6;iceberg-lettuce:2/6
asparagus,Asparagus,stalks,cushion,16.7,55,1.82,,3,32,,steady,low,525180705,72931574,66463000,,,,,141,$ / CWT,101,2025,item,2010-2025,1;2;3,37,070920,-18.8,concentrated,0.47,Mexico:49%;Peru:48%;Canada:3%,6,28,125,2020-07-01,broccoli:2/6;garlic:2/6;watermelon:2/6
avocado,Avocado,fruit,cushion,16.8,75,1.33,,11,32,,steady,low,3656452928,18495846,508107000,,,,,2750,$ / TON,88,2025,item,2010-2025,1;3;4,27,080440,-3,concentrated,0.78,Mexico:88%;Peru:6%;Colombia:3%,6,91,167,2002-06-12,acorn-squash:2/6;bell-pepper:2/6;brussels-sprouts:2/6
bell-pepper,Bell pepper,fruiting,cushion,14.4,82,1.22,,,,,steady,low,1688128702,110936104,480721000,,,,,45.7,$ / CWT,82,2025,commodity,2010-2025,1;2;3,34,07096040,-5.1,concentrated,0.6,Mexico:73%;Canada:24%;Honduras:1%,6,70,108,2004-11-17,avocado:2/6;carrot:2/6;cherry-tomato:2/6
cantaloupe,Cantaloupe,fruit,cushion,11.5,50,2,,8,26,,,,365431178,89872833,240067000,,,,,22.6,$ / CWT,41,2025,commodity,2010-2025,1;3;4,43,080719,-5.5,concentrated,0.41,Guatemala:58%;Mexico:21%;Honduras:17%,6,49,109,2026-07-01,cherry-tomato:2/6;lemon:2/6;tomato:2/6
cherry-tomato,Cherry tomato,fruiting,cushion,12.7,100,1,,10,28,Yellow squash,building,moderate,104322158,97488668,754123000,,,,,54.3,$ / CWT,81,2025,commodity,2022-2025,1;2;4,39,070200 (+6 HS10 lines),-7.8,concentrated,0.59,Mexico:75%;Canada:18%;Guatemala:4%,6,77,135,2004-11-03,yellow-squash:4/6;green-beans:3/6;tomato:3/6
chicken-breast,Chicken breast,meat,cushion,5.3,95,1.05,0.72,11,42,Chicken thigh,steady,low,,,44567421000,,,,,,,,,,,,,,,,,,6,56,110,2022-08-29,chicken-thigh:5/6;collard-greens:2/6;dill:2/6
chicken-thigh,Chicken thigh,meat,cushion,2.9,90,1.11,0.75,1,40,Chicken breast,steady,low,,,44567421000,,,,,,,,,,,,,,,,,,5,112,73,2022-08-29,chicken-breast:5/5;dill:2/5;carrot:1/5
corn-on-the-cob,Corn on the cob,fruiting,cushion,16.1,28,3.57,,5,16,,steady,low,67124101,156793006,554422000,,,,,36.7,$ / CWT,14,2025,item,2012-2025,1;2;3,58,0709994500,-25.3,concentrated,0.76,Mexico:87%;Canada:8%;Guatemala:5%,6,70,92,2012-03-28,jalapeno:2/6;lime:2/6;acorn-squash:1/6
cucumber,Cucumber,fruiting,cushion,12.6,95,1.05,,7,40,Zucchini,steady,low,1311271843,32074884,256482000,,,,,18.2,$ / CWT,85,2025,item,2010-2025,1;3;4,29,070700,-9.8,concentrated,0.5,Mexico:54%;Canada:46%;Honduras:0%,6,63,152,2011-03-23,zucchini:3/6;beet:2/6;butter-lettuce:2/6
green-beans,Green beans,fruiting,cushion,18.9,88,1.14,,3,51,Cherry tomato,steady,low,253323896,45083913,262178000,,,,,22.5,$ / CWT,54,2024,item,2010-2024,1;3;12,33,0708209010,12.9,,,,6,49,163,2005-12-14,cherry-tomato:3/6;bell-pepper:2/6;carrot:2/6
napa-cabbage,Napa cabbage,greens,cushion,14.6,80,1.25,,6,33,,,,20123768,178881774,538302000,,,,,24.4,$ / CWT,17,2025,commodity,2023-2025,8;9;10,55,0704904045,-11.8,concentrated,0.5,Mexico:51%;Canada:49%,6,77,206,2017-05-10,brussels-sprouts:2/6;green-leaf-lettuce:2/6;red-onion:2/6
okra,Okra,fruiting,cushion,19.2,85,1.18,,8,36,,steady,low,35603542,156793006,8339000,,,,,,,,,,2012-2025,3;6;7,28,0709991400,-37.7,concentrated,0.45,Honduras:60%;Mexico:27%;Nicaragua:12%,6,105,176,2011-01-19,artichoke:2/6;beet:2/6;celery:2/6
parsley,Parsley,herbs,cushion,8.3,70,1.43,,3,30,,steady,low,,,,,,,,,,,,,,,,,,,,,6,77,173,2002-12-18,romaine-lettuce:2/6;asparagus:1/6;blueberry:1/6
red-leaf-lettuce,Red leaf lettuce,greens,cushion,18.2,70,1.43,,1,44,Iceberg lettuce,building,moderate,33884000,452139992,1377605000,,,,,85.7,$ / CWT,12,2025,commodity,2023-2025,1;2;3,30,0705194060+0705192060,26.9,concentrated,0.5,Canada:53%;Mexico:47%,6,77,405,2002-02-20,iceberg-lettuce:5/6;romaine-lettuce:5/6;green-leaf-lettuce:4/6
snow-peas,Snow peas,fruiting,cushion,13.7,90,1.11,,3,46,,steady,low,24325079,38211330,73361000,,,,,15.7,$ / CWT,41,2025,item,2023-2025,1;3;12,34,0708102020+0708104020,-25.8,concentrated,0.38,Guatemala:51%;Mexico:28%;Peru:20%,6,77,167,2017-10-25,avocado:2/6;artichoke:1/6;bell-pepper:1/6
spinach,Spinach,greens,cushion,19,75,1.33,,6,39,,steady,low,88409384,119242389,434601000,,,,,81,$ / CWT,22,2025,item,2010-2025,1;3;12,28,070970,-8.6,concentrated,0.59,Mexico:71%;Canada:29%;United Kingdom:0%,6,28,148,2026-02-25,poblano-pepper:2/6;red-leaf-lettuce:2/6;apple:1/6
watermelon,Watermelon,fruit,cushion,19.4,50,2,,10,29,,steady,low,452535301,81756257,740681000,,,,,19.3,$ / CWT,41,2025,commodity,2010-2025,3;4;5,54,080711,2.8,concentrated,0.62,Mexico:77%;Guatemala:17%;Honduras:5%,6,126,7272,2013-02-20,asparagus:2/6;cabbage:2/6;cherry-tomato:2/6
broccoli,Broccoli,cruciferous,float,26.4,65,1.54,,,,Cauliflower,steady,low,303364067,178881774,768748000,,,,,69.2,$ / CWT,34,2025,item,2023-2025,1;3;12,34,0704904024+0704904022,-24.5,single-source,0.83,Mexico:91%;Guatemala:7%;Canada:2%,6,63,211,2002-01-30,cauliflower:3/6;red-leaf-lettuce:3/6;romaine-lettuce:3/6
brussels-sprouts,Brussels sprouts,cruciferous,float,21.2,80,1.25,,3,38,,steady,low,86224085,23624106,14471000,,,,,,,112,2025,item,2010-2025,2;3;4,43,070420,-15.8,concentrated,0.77,Mexico:87%;Canada:9%;Guatemala:4%,6,70,119,2025-12-31,avocado:2/6;napa-cabbage:2/6;red-onion:2/6
green-leaf-lettuce,Green leaf lettuce,greens,float,22.3,70,1.43,,1,51,Iceberg lettuce,building,moderate,33884000,452139992,1377605000,,,,,85.7,$ / CWT,12,2025,commodity,2023-2025,1;2;3,30,0705194060+0705192060,26.9,concentrated,0.5,Canada:53%;Mexico:47%,6,77,397,2002-02-20,iceberg-lettuce:4/6;red-leaf-lettuce:4/6;butter-lettuce:3/6
raspberry,Raspberry,fruit,float,24.6,100,1,,6,50,Romaine lettuce,steady,low,1039401007,143716226,362815000,,,,,2.44,$ / LB,83,2025,item,2018-2025,3;4;5,38,081020 (+6 HS10 lines),-12.6,single-source,1,Mexico:100%;Guatemala:0%;Canada:0%,6,91,119,2011-01-19,romaine-lettuce:3/6;red-leaf-lettuce:2/6;watermelon:2/6
romaine-lettuce,Romaine lettuce,greens,float,21.8,75,1.33,,1,47,Red leaf lettuce,building,moderate,159408037,452139992,2783813000,,,,,59.7,$ / CWT,12,2025,commodity,2023-2025,1;2;3,42,0705194020+0705192020,-4,concentrated,0.8,Mexico:89%;Canada:11%,6,77,263,2022-11-16,red-leaf-lettuce:5/6;iceberg-lettuce:4/6;broccoli:3/6
serrano-pepper,Serrano pepper,fruiting,float,20.1,85,1.18,,2,45,,,,30974507,110936104,106888000,,,,,41,$ / CWT,82,2025,commodity,2023-2025,3;4;5,32,0709602060,-34.6,single-source,1,Mexico:100%;Canada:0%;Vietnam:0%,6,84,342,2006-11-01,collard-greens:2/6;green-onion:2/6;red-onion:2/6
yellow-squash,Yellow squash,fruiting,float,25,95,1.05,,7,44,Cherry tomato,steady,low,41823416,26608205,229372000,,,,,36.1,$ / CWT,48,2025,commodity,2022-2025,2;3;4,50,0709932075+0709932030,-40.4,single-source,0.99,Mexico:100%;Guatemala:0%;Canada:0%,6,63,213,2004-10-06,cherry-tomato:4/6;bell-pepper:2/6;green-beans:2/6
basil,Basil,herbs,withhold,,50,2,,,,,steady,low,,,,,,,,,,,,,,,,,,,,,,,,,
blueberry,Blueberry,fruit,withhold,30.1,100,1,,8,57,,steady,low,2078884911,190220969,220649000,,,,,,,99,2025,item,2010-2025,1;2;10,38,0810400024+0810400026+0810400029,-4.5,concentrated,0.39,Peru:56%;Mexico:24%;Chile:10%,6,35,202,2024-10-09,bell-pepper:1/6;butter:1/6;butter-lettuce:1/6
button-mushroom,Button mushroom,mushroom,withhold,,90,1.11,0.45,,,,,,351719290,8097326,889325000,,,,,1.64,$ / LB,29,2025,commodity,2010-2025,1;11;12,27,070951,-7.3,single-source,0.88,Canada:94%;Mexico:6%;China:0%,1,70,-33,2005-11-30,
carrot,Carrot,root,withhold,,82,1.22,,,,Rutabaga,steady,low,164038992,112448070,2015297000,,,,,75.5,$ / CWT,8,2025,item,2010-2025,1;11;12,29,070610,-16.9,concentrated,0.37,Mexico:44%;Canada:39%;Guatemala:11%,6,77,59,2008-07-23,rutabaga:4/6;avocado:2/6;bell-pepper:2/6
cauliflower,Cauliflower,cruciferous,withhold,40,60,1.67,,9,30,Broccoli,steady,low,109055998,202628265,487069000,,,,,64.6,$ / CWT,28,2025,item,2010-2025,8;9;10,31,070410,6,concentrated,0.58,Mexico:72%;Canada:26%;China:1%,6,56,222,2015-12-09,broccoli:3/6;iceberg-lettuce:2/6;leek:2/6
celery,Celery,stalks,withhold,43.6,75,1.33,,9,52,,steady,low,78383776,76309506,483569000,,,,,32.3,$ / CWT,16,2025,item,2010-2025,1;2;3,38,070940,-10.9,concentrated,0.81,Mexico:90%;Canada:10%;Dominican Republic:1%,6,98,320,2017-05-24,beet:2/6;butternut-squash:2/6;cucumber:2/6
clams,Clams,shellfish,withhold,,30,3.33,,,,,,,2605174,274506,,171537643,2024,false,false,,,,,,2012-2025,6;7;8,29,030779,-32.7,concentrated,0.47,Canada:65%;China:19%;Vietnam:8%,,,,,
collard-greens,Collard greens,greens,withhold,,65,1.54,,,,Leek,steady,low,176702,178881774,123964000,,,,,,,,,,2022-2025,1;11;12,40,0704904025+0704904028,-43.9,concentrated,0.53,Mexico:62%;Canada:38%,6,35,58,2001-06-06,leek:3/6;butternut-squash:2/6;chicken-breast:2/6
eggs,Eggs,,withhold,57.1,,,,1,80,,,,115639127,235937533,,,,,,3.75,$ / DOZEN,,,,2012-2025,4;5;8,28,040721,1745.1,concentrated,0.27,Brazil:36%;Mexico:28%;Turkey:24%,4,28,127,2025-02-17,butternut-squash:1/4;cantaloupe:1/4;chicken-breast:1/4
green-onion,Green onion,allium,withhold,62.4,65,1.54,,6,68,,steady,low,58884800,5899602,1599282000,,,,,19.6,$ / CWT,20,2025,commodity,2022-2025,9;10;12,27,0703900020,3.4,single-source,0.9,Mexico:95%;Canada:5%;China:0%,6,70,237,2006-09-20,chicken-breast:2/6;serrano-pepper:2/6;apple:1/6
ground-beef,Ground beef,beef,withhold,,100,1,0.73,,,,building,low,5338810226,6617992660,99769907000,,,,,417,$ / CWT,5,2025,commodity,2017-2025,1;7;8,26,0201305085+0202305085,10.9,concentrated,0.3,Australia:49%;New Zealand:21%;Mexico:12%,,,,,
