slug,month,median_cents,p25_cents,p75_cents,n
celery,7,1997,1816,2169,18
celery,8,1750,1511,1974,18
celery,9,1735,1700,1950,16
celery,10,1745,1700,2100,18
celery,11,2583,2000,3293,18
celery,12,3590,2843,5440,18
cherry-tomato,1,2361,2100,2500,21
cherry-tomato,2,2194,2100,2451,20
cherry-tomato,3,2325,2150,2515,22
cherry-tomato,4,2150,1850,2810,22
cherry-tomato,5,1900,1600,2300,22
cherry-tomato,6,1913,1794,2250,22
cherry-tomato,7,1865,1538,1900,18
cherry-tomato,8,1820,1800,2043,18
cherry-tomato,9,1825,1725,2043,16
cherry-tomato,10,1800,1575,2469,18
cherry-tomato,11,2500,2074,2888,18
cherry-tomato,12,2400,1819,2798,18
collard-greens,1,2775,2250,2975,21
collard-greens,2,2250,2225,2775,20
collard-greens,3,2750,2300,2819,22
collard-greens,4,2750,2250,2819,22
collard-greens,5,2585,2213,2838,22
collard-greens,6,2310,2213,2955,22
collard-greens,7,2470,2200,2894,18
collard-greens,8,2800,2775,2875,18
collard-greens,9,2788,2463,2819,16
collard-greens,10,2775,2338,2800,18
collard-greens,11,2775,2739,2814,18
collard-greens,12,2775,2372,2975,18
cucumber,1,2100,1769,2640,21
cucumber,2,2493,2198,2626,20
cucumber,3,2250,2035,2450,22
cucumber,4,2143,1930,2340,22
cucumber,5,1700,1509,1995,22
cucumber,6,1840,1700,1925,22
cucumber,7,1490,1450,1788,18
cucumber,8,1530,1450,1839,18
cucumber,9,2200,1810,2741,16
cucumber,10,2100,1750,2735,18
cucumber,11,1818,1674,2348,18
cucumber,12,1830,1716,2900,18
eggplant,1,1750,1700,2700,21
eggplant,2,1825,1738,2423,20
eggplant,3,2050,1900,2450,22
eggplant,4,2480,1970,2625,22
eggplant,5,2060,2000,2531,22
eggplant,6,2382,2135,2750,22
eggplant,7,2620,2185,3044,18
eggplant,8,2575,2000,2866,18
eggplant,9,2438,2238,2505,16
eggplant,10,2300,2205,2500,18
eggplant,11,2475,1925,2598,18
eggplant,12,2163,1750,3050,18
grapefruit,1,3788,3700,4000,21
grapefruit,2,3750,3570,3803,20
grapefruit,3,3738,3555,3818,22
grapefruit,4,3610,3470,3664,22
grapefruit,5,3400,3334,3571,22
grapefruit,6,3400,3250,3580,21
grapefruit,7,3625,3560,3695,19
grapefruit,8,3500,3500,3600,18
grapefruit,9,3595,3500,3640,16
grapefruit,10,3800,3565,4158,18
grapefruit,11,3863,3800,3988,18
grapefruit,12,3793,3700,4188,18
green-leaf-lettuce,1,1663,1550,1970,21
green-leaf-lettuce,2,1832,1488,2384,20
green-leaf-lettuce,3,2220,1651,2569,22
green-leaf-lettuce,4,2120,1817,2584,22
green-leaf-lettuce,5,2375,1676,2851,22
green-leaf-lettuce,6,1908,1650,2446,22
green-leaf-lettuce,7,2215,1730,2686,18
green-leaf-lettuce,8,2684,1861,2847,18
green-leaf-lettuce,9,2750,1829,2950,16
green-leaf-lettuce,10,2620,1888,4637,18
green-leaf-lettuce,11,3398,2040,5344,18
green-leaf-lettuce,12,2740,2016,3000,18
green-onion,1,3365,2225,3700,21
green-onion,2,2050,1625,3421,20
green-onion,3,1548,1439,2343,22
green-onion,4,1663,1290,2338,22
green-onion,5,1365,1150,1540,22
green-onion,6,1265,1150,1538,22
green-onion,7,1300,1150,1591,18
green-onion,8,1895,1500,3075,18
green-onion,9,3988,3363,4550,16
green-onion,10,2308,2045,3665,18
green-onion,11,2175,1375,3165,18
green-onion,12,2355,1538,3775,18
habanero-pepper,1,3600,3525,3900,21
habanero-pepper,2,3300,2800,3850,20
habanero-pepper,3,3100,2755,3850,22
habanero-pepper,4,3200,2550,3813,22
habanero-pepper,5,3100,2550,3229,22
habanero-pepper,6,3100,2600,3313,22
habanero-pepper,7,2775,2338,3100,18
habanero-pepper,8,2775,2600,2950,18
habanero-pepper,9,2895,2513,2988,16
habanero-pepper,10,2925,2413,3463,18
habanero-pepper,11,3313,3050,3593,18
habanero-pepper,12,3350,2613,3600,18
jalapeno,1,2350,2250,2500,21
jalapeno,2,2225,2050,3228,20
jalapeno,3,2500,2175,3060,22
jalapeno,4,2500,2250,3350,22
jalapeno,5,2550,2425,2800,22
jalapeno,6,2190,2150,2590,22
jalapeno,7,2600,2503,3135,18
jalapeno,8,2515,2300,2875,18
jalapeno,9,2250,2088,2333,16
jalapeno,10,2220,2153,2298,18
jalapeno,11,2325,2300,2350,18
jalapeno,12,2350,2306,2383,18
kale,1,2300,2275,2488,21
kale,2,2375,2100,2525,20
kale,3,2415,2100,2525,22
kale,4,2183,2100,2425,22
kale,5,2125,1750,2635,22
kale,6,2125,1750,2485,22
kale,7,2401,2125,2600,18
kale,8,2307,2225,2753,18
kale,9,2332,2206,2510,16
kale,10,2253,1831,2275,18
kale,11,2328,2238,2431,18
kale,12,2353,2106,2402,18
leek,1,3095,2950,4000,21
leek,2,2950,2354,3392,20
leek,3,2925,2400,3828,22
leek,4,2800,2400,3788,22
leek,5,3023,2500,3750,22
leek,6,3075,2710,3250,22
leek,7,3250,3038,3325,18
leek,8,3300,3250,3350,18
leek,9,3200,2950,3300,16
leek,10,3198,2900,3238,18
leek,11,3500,3188,3842,18
leek,12,3438,3150,3938,18
lemon,1,2500,2360,2650,21
lemon,2,2490,2350,2615,20
lemon,3,2480,2305,2600,22
lemon,4,2825,2578,3138,22
lemon,5,3055,2778,3940,22
lemon,6,3238,3040,4329,22
lemon,7,3730,3384,4140,18
lemon,8,4023,3053,4090,18
lemon,9,4050,3715,4253,16
lemon,10,4155,3855,4250,18
lemon,11,3300,2911,4373,18
lemon,12,2750,2360,2810,18
lime,1,3800,3250,4220,21
lime,2,3743,3348,4369,20
lime,3,5285,3910,6198,22
lime,4,6018,4153,7386,22
lime,5,4135,3263,4850,22
lime,6,2450,2329,3038,22
lime,7,2451,2223,2955,18
lime,8,3023,2618,3373,18
lime,9,4172,3203,4878,16
lime,10,2645,2213,4548,18
lime,11,2140,1925,3110,18
lime,12,2538,2000,2871,18
napa-cabbage,1,2200,1950,2481,21
napa-cabbage,2,2398,2000,2578,20
napa-cabbage,3,2350,1990,2861,22
napa-cabbage,4,2810,2196,3245,22
napa-cabbage,5,3016,2120,3265,22
napa-cabbage,6,2014,1855,2920,22
napa-cabbage,7,2225,2046,2500,18
napa-cabbage,8,2313,2100,2858,18
napa-cabbage,9,2995,2300,3508,16
napa-cabbage,10,2650,2500,3080,18
napa-cabbage,11,2683,2186,2775,18
napa-cabbage,12,2300,1950,2563,18
onion,1,2390,1600,2550,21
onion,2,2508,1509,2750,20
onion,3,2643,1451,2730,22
onion,4,2465,1475,2671,22
onion,5,2210,1468,2410,22
onion,6,2100,1550,2406,22
onion,7,2163,1884,2710,18
onion,8,2830,2051,3016,18
onion,9,2433,2029,2856,16
onion,10,1850,1488,2564,18
onion,11,2304,1572,2956,18
onion,12,1592,1344,2454,18
parsley,1,2425,1975,2925,21
parsley,2,2162,1875,2233,20
parsley,3,1875,1833,2100,22
parsley,4,2150,1970,2425,22
parsley,5,2339,2200,2874,22
parsley,6,2300,2200,2505,22
parsley,7,2229,2094,2291,18
parsley,8,1995,1823,2488,18
parsley,9,2000,1950,2566,16
parsley,10,2140,1939,2316,18
parsley,11,2403,2200,2448,18
parsley,12,2680,2499,2950,18
pear,1,3475,3100,3585,21
pear,2,3300,3100,3605,20
pear,3,3153,2960,3888,22
pear,4,3625,3173,3850,22
pear,5,3825,3568,4106,22
pear,6,3725,3570,3825,21
pear,7,3813,3480,4245,19
pear,8,3605,3299,3979,18
pear,9,3317,3010,3443,16
pear,10,3325,3116,3386,18
pear,11,3335,3156,3974,18
pear,12,3298,3123,3718,18
pineapple,1,1390,1350,1444,21
pineapple,2,1545,1508,1581,20
pineapple,3,1468,1380,1698,22
pineapple,4,1815,1675,1950,22
pineapple,5,1705,1440,1895,22
pineapple,6,1585,1391,1600,22
pineapple,7,1500,1450,1660,18
pineapple,8,1760,1700,1910,18
pineapple,9,1850,1660,2063,16
pineapple,10,1432,1255,1700,18
pineapple,11,1175,1013,1300,18
pineapple,12,1249,1153,1388,18
poblano-pepper,1,2400,2300,2500,21
poblano-pepper,2,2450,2400,2855,20
poblano-pepper,3,2500,2413,2869,22
poblano-pepper,4,2450,2410,3238,22
poblano-pepper,5,2400,2100,2450,22
poblano-pepper,6,2450,2269,2908,22
poblano-pepper,7,2550,2450,2725,18
poblano-pepper,8,2550,2358,2913,18
poblano-pepper,9,2455,2338,2950,16
poblano-pepper,10,2400,2308,2488,18
poblano-pepper,11,2350,2263,2450,18
poblano-pepper,12,2350,2300,2475,18
