slug,month,median_cents,p25_cents,p75_cents,n
snow-peas,11,3425,3124,3903,18
snow-peas,12,2854,2466,4029,18
avocado,1,3798,2886,4254,18
avocado,2,3478,2839,4316,16
avocado,3,4110,3585,4823,19
avocado,4,4590,4090,5078,16
avocado,5,4445,3720,5091,18
avocado,6,4728,3705,6125,18
avocado,7,4720,3640,5610,17
avocado,8,3910,3283,4828,18
avocado,9,4010,3263,4463,17
avocado,10,3960,3420,4405,17
avocado,11,3226,2855,3636,18
avocado,12,3683,3006,4779,18
chicken-breast,1,120,109,137,18
chicken-breast,2,138,127,149,16
chicken-breast,3,152,141,196,18
chicken-breast,4,172,161,176,17
chicken-breast,5,161,142,186,17
chicken-breast,6,168,135,195,17
chicken-breast,7,175,121,184,14
chicken-breast,8,193,154,198,13
chicken-breast,9,169,157,187,18
chicken-breast,10,127,114,144,18
chicken-breast,11,111,98,123,16
chicken-breast,12,116,98,139,18
chicken-thigh,1,86,70,101,18
chicken-thigh,2,101,88,109,16
chicken-thigh,3,116,104,125,18
chicken-thigh,4,128,121,133,17
chicken-thigh,5,138,100,162,17
chicken-thigh,6,143,137,161,17
chicken-thigh,7,144,101,145,14
chicken-thigh,8,140,104,145,13
chicken-thigh,9,132,120,143,18
chicken-thigh,10,107,99,115,18
chicken-thigh,11,91,84,101,16
chicken-thigh,12,91,82,118,18
whole-chicken,1,141,100,179,18
whole-chicken,2,150,118,190,16
whole-chicken,3,128,101,161,18
whole-chicken,4,125,100,226,17
whole-chicken,5,91,88,117,17
whole-chicken,6,119,88,147,17
whole-chicken,7,167,111,259,14
whole-chicken,8,173,135,232,13
whole-chicken,9,156,122,210,18
whole-chicken,10,138,109,169,18
whole-chicken,11,132,100,170,16
whole-chicken,12,128,98,182,18
brussels-sprouts,1,3750,3650,4875,21
brussels-sprouts,2,3969,3550,4473,20
brussels-sprouts,3,3000,2745,3298,22
brussels-sprouts,4,3330,2625,3550,22
brussels-sprouts,5,3885,3475,4230,18
brussels-sprouts,6,4053,3450,4688,18
brussels-sprouts,7,4800,3840,5390,13
brussels-sprouts,8,4620,3436,5670,10
brussels-sprouts,9,4575,3425,5735,8
brussels-sprouts,10,3300,3081,5524,11
brussels-sprouts,11,3800,3550,4775,18
brussels-sprouts,12,3982,3590,5180,18
whole-turkey,1,167,89,172,17
whole-turkey,2,109,102,168,15
whole-turkey,3,149,114,171,18
whole-turkey,4,125,104,170,17
whole-turkey,5,143,114,162,17
whole-turkey,6,144,118,156,17
whole-turkey,7,139,104,149,14
whole-turkey,8,131,98,156,13
whole-turkey,9,143,109,168,18
whole-turkey,10,146,112,181,18
whole-turkey,11,146,105,176,16
whole-turkey,12,141,101,173,18
basil,1,700,600,755,12
basil,2,700,600,700,12
basil,3,700,600,700,12
basil,4,700,625,700,14
basil,5,700,600,700,13
basil,6,700,600,700,13
basil,7,700,600,800,10
basil,8,700,600,800,8
basil,9,650,600,700,8
basil,10,650,600,700,10
basil,11,700,675,705,8
basil,12,750,700,800,10
cilantro,1,2600,2590,3075,12
cilantro,2,2775,2475,3075,12
cilantro,3,2700,2350,2776,12
cilantro,4,2700,2438,2925,14
cilantro,5,2700,2625,2925,13
cilantro,6,2925,2550,2925,13
cilantro,7,3200,2610,3700,10
cilantro,8,2935,2700,3475,8
cilantro,9,2820,2700,3048,8
cilantro,10,2925,2723,3000,10
cilantro,11,2640,2619,2783,8
cilantro,12,2632,2625,2658,10
daikon,1,2900,2900,2965,12
daikon,2,2900,2900,3330,12
daikon,3,3100,3100,3600,12
daikon,4,3100,3100,3800,14
daikon,5,3100,3100,3400,13
daikon,6,3350,3100,3400,13
daikon,7,3225,3100,3350,10
daikon,8,3100,3050,3100,8
daikon,9,3100,3100,3100,8
daikon,10,3100,3100,3121,10
daikon,11,3025,2725,3044,8
daikon,12,2913,2450,3025,10
dill,1,2400,1855,2850,12
dill,2,2449,2150,2850,12
dill,3,2645,2500,2750,12
dill,4,2475,2371,2500,14
dill,5,2750,2265,3410,13
dill,6,2500,2045,3286,12
dill,7,2450,1625,2525,11
dill,8,3088,2875,5500,8
dill,9,3000,2893,3580,8
dill,10,2450,2400,2544,10
dill,11,3005,2430,3600,8
dill,12,2625,2300,3150,10
ginger,1,5453,5149,5685,12
ginger,2,5683,5429,6394,12
ginger,3,5350,4634,6300,12
ginger,4,5255,4680,5638,14
ginger,5,5350,4650,5380,13
ginger,6,5000,4650,5425,13
ginger,7,4685,4650,4750,10
ginger,8,4105,3800,4250,8
ginger,9,3878,3754,4000,8
ginger,10,3997,3788,4470,10
ginger,11,4500,4413,4573,8
ginger,12,4909,4831,5213,10
mint,1,1360,1250,1546,12
mint,2,1391,1311,1528,12
mint,3,1393,1333,1475,12
mint,4,1385,1331,1412,14
mint,5,1300,1290,1300,13
mint,6,1300,1250,1300,13
mint,7,1320,1300,1348,10
mint,8,1300,1294,1300,8
mint,9,1300,1278,1303,8
mint,10,1300,1300,1300,10
mint,11,1298,1283,1300,8
mint,12,1315,1300,1335,10
oregano,1,800,750,856,12
oregano,2,800,750,850,12
oregano,3,800,750,850,12
oregano,4,800,763,850,14
oregano,5,800,750,850,13
oregano,6,800,750,850,13
oregano,7,785,750,800,10
oregano,8,800,800,800,8
oregano,9,800,800,800,8
oregano,10,800,800,800,10
oregano,11,800,800,900,8
oregano,12,850,800,900,10
rosemary,1,750,750,850,12
rosemary,2,750,750,850,12
rosemary,3,750,750,850,12
rosemary,4,750,750,850,14
rosemary,5,750,750,850,13
rosemary,6,750,750,850,13
rosemary,7,750,750,750,10
rosemary,8,750,750,750,8
rosemary,9,750,750,750,8
rosemary,10,750,750,750,10
rosemary,11,750,750,850,8
rosemary,12,800,750,850,10
tarragon,1,982,975,1075,12
tarragon,2,1025,975,1075,12
tarragon,3,1030,975,1075,12
tarragon,4,1075,1000,1075,14
tarragon,5,1075,975,1075,13
tarragon,6,1075,975,1075,13
tarragon,7,1025,975,1075,10
tarragon,8,1025,975,1075,8
tarragon,9,1025,975,1075,8
tarragon,10,1025,975,1075,10
tarragon,11,1025,975,1075,8
tarragon,12,1025,975,1075,10
thyme,1,1285,1100,1300,12
thyme,2,1100,1050,1300,12
thyme,3,1100,1050,1300,12
thyme,4,1100,1050,1250,14
thyme,5,1100,1050,1300,13
thyme,6,1100,1050,1315,13
thyme,7,1213,1100,1325,10
thyme,8,1213,1100,1325,8
thyme,9,1213,1100,1325,8
thyme,10,1213,1100,1325,10
thyme,11,1213,1100,1325,8
thyme,12,1213,1100,1325,10
bok-choy,1,2200,2070,2327,11
bok-choy,2,2238,1888,2525,12
bok-choy,3,2120,2045,2416,12
bok-choy,4,2295,2113,2450,14
bok-choy,5,2550,2440,2650,13
bok-choy,6,2583,2190,2650,13
bok-choy,7,2130,1800,2710,10
bok-choy,8,2640,2186,3993,8
bok-choy,9,3190,2648,3758,8
bok-choy,10,2973,2730,3110,10
bok-choy,11,2868,2758,2925,8
bok-choy,12,2510,2225,2800,10
pork-belly,1,18051,16679,18148,5
pork-belly,2,18005,16762,19760,5
pork-belly,3,17764,17038,18377,5
pork-belly,4,17820,17103,18247,5
pork-belly,5,16730,16395,18185,5
pork-belly,6,17187,16095,18068,4
pork-belly,7,17294,16442,18232,4
pork-belly,8,17216,16433,18057,4
pork-belly,9,17250,16489,18167,4
pork-belly,10,17237,16555,18096,4
pork-belly,11,17467,16660,18284,4
pork-belly,12,18730,18152,18854,4
vegetable-oil,1,23477,23298,25293,5
vegetable-oil,2,23693,23237,24104,5
vegetable-oil,3,24148,24006,25576,5
vegetable-oil,4,23890,23569,25739,5
vegetable-oil,5,24462,23494,26518,5
vegetable-oil,6,23899,22824,24982,4
vegetable-oil,7,24332,23489,25079,4
vegetable-oil,8,24240,23336,25724,4
vegetable-oil,9,24037,23334,25558,4
vegetable-oil,10,23858,22971,25123,4
vegetable-oil,11,24916,22894,26389,4
vegetable-oil,12,23618,22526,24677,4
eggs,1,95,76,138,5
eggs,2,470,120,820,8
eggs,3,286,157,393,10
eggs,4,215,60,370,8
eggs,5,182,65,348,8
eggs,6,298,56,303,9
sweet-potato,1,1938,1929,1985,8
sweet-potato,2,2050,1975,2125,8
sweet-potato,3,2069,2004,2125,8
sweet-potato,4,2069,2013,2125,10
sweet-potato,11,1825,1819,1844,8
sweet-potato,12,1900,1900,1929,10
