slug,recall_number,report_date,classification,status,recalling_firm,distribution_states,product
shrimp-pd,F-0437-2021,2021-04-28,Class III,Terminated,Avanti Frozen Foods Private Limited,Potentially Nationwide,365 Whole Foods Market Farm Raised Cooked Shrimp 2 lbs/Ready- to - Serve Tail-On/Peeled & Deveined/41-55 Shrimp/lb NET WT 32 OZ (2 LB) 907g packaged in clear plastic bag
shrimp-pd,F-0070-2021,2020-11-04,Class II,Terminated,Capital Seaboard,"Distributed to 287 restaurants in MD, VA, PA, DE, and Washington D.C.","Gracie's Pointe frozen raw shrimp. 1. 8/12 Count Per Pound Tail On, UPC: 849558095034 2. 21/25 Count Per Pound Tail Off, UPC: 849558095065 3. 31/40 Count Per Pound Tail Off, UPC: …"
shrimp-pd,F-1432-2020,2020-09-16,Class II,Terminated,Kader Exports Pvt. Ltd.,Product distributed nationwide.,"Cooked, Peeled and Deveined, Tail-on, Shrimp. AQUA STAR RESERVE-(1) 26/30 shrimp per pound, NET WT 1lbs UPC:3114960591 and (2) 31/40 shrimp per pound, NET WT 1lbs UPC:3114965212. …"
shrimp-pd,F-1298-2020,2020-09-02,Class II,Terminated,"Wegmans Food Markets, Inc.","VA, NJ, MD, PA, NC, NY","Fresh Grilled Shrimp; 6ct, 16ct, 40ct; seasoned grilled shrimp made with EU organic shrimp; packaged in a plastic tray; package size varies; keep refrigerated"
shrimp-pd,F-0841-2020,2020-03-18,Class II,Terminated,Les Chateaux De France,"NV, FL, NY, PA, LA, NJ, AZ, MA","Butterfly Shrimp 16/20, 50 lb. cases"
snapper,F-1312-2020,2020-09-02,Class II,Terminated,"Wegmans Food Markets, Inc.","VA, NJ, MD, PA, NC, NY",Whole Seasoned Snapper; by the lb.; whole seasoned snapper with lemon and oil; packaged in an oven ready tray; total package size varies; keep refrigerated
spinach,H-0424-2026,2026-02-04,Class II,Terminated,"Prima Vera Nueva, Inc.","U.S. Distribution: CA, NV","Mushroom, Spinach & Salsa Tamales with 2 Cheeses Ingredients: Organic Corn Flour Masa, Mushrooms, Spinach, Onions, Jalapenos, Jack and White Cheddar Cheese (pasteurized milk, chee…"
spinach,H-0433-2026,2026-02-04,Class I,Completed,"SUPERFOODS, INC.","Nationwide, including Puerto Rico, Guam, and Virgin Islands; United Kingdom","Live it Up brand Super Greens; Chlorella, Spirulina, Wheatgrass, Kale, Broccoli, Spinach, Barley grass, Moringa, Parsley; Whole food dietary supplement powder; 30 day supply; NET …"
spinach,H-0434-2026,2026-02-04,Class I,Completed,"SUPERFOODS, INC.","Nationwide, including Puerto Rico, Guam, and Virgin Islands; United Kingdom","a.) Live it Up brand Super Greens; Natural Wild Berry Flavor; Chlorella, Spirulina, Wheatgrass, Kale, Broccoli, Spinach, Barley grass, Moringa, Parsley; Whole food dietary supplem…"
spinach,H-0426-2026,2026-02-04,Class II,Terminated,"Prima Vera Nueva, Inc.","U.S. Distribution: CA, NV","Mushroom, Spinach & Salsa Tamales No Dairy Ingredients: Organic Corn Flour Masa, Mushrooms, Spinach, Tomatoes, Onions, Jalapenos, Non-hydrogenated Vegetable Shortning, Salt, Spice…"
spinach,H-0109-2026,2025-10-29,Class II,Terminated,SNO PAC FOODS INC,"CA, GA, IA, IN, MD, MI, MN, NM, OR, PA, TX, WI","Frozen Organic Spinach Net Wt. 10 oz (283.5g) poly bags packaged under the following brands: 1. Sno Pac Frozen Vegetables, UPC 0 24284-96910 5. Keep Frozen. Packed and Distributed…"
spinach,H-0110-2026,2025-10-29,Class II,Ongoing,Del Mar Food Products Corp.,U.S. Distribution: MN,"ORGANIC IQF CHOPPED SPINACH 35 lbs. Net Weight Product is not ready to eat. For food safety, cook to an internal temperature of 165 degrees F as measured with a food thermometer. …"
spinach,H-0134-2026,2025-10-22,Class II,Ongoing,Sprout Organics Inc.,"U.S. States: AZ, CA, CO, CT, FL, GA, HI, ID, IN, KY, LA, MA, MD, MI, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, PA, RI…","6+ Months SPROUT ORGANICS Made With Organic Sweet Potato, Apple & Spinach NET WT. 3.5 OZ (99g) INGREDIENTS: ORGANIC SWEET POTATOES, ORGANIC APPLES, ORGANIC SPINACH, WATER, ORGANIC…"
spinach,H-0243-2025,2025-07-16,Class II,Terminated,UNFI General Corporate,"NJ, NY, MD, DC, PA",1. USA/MEX OG2 SPINACH
spinach,F-1480-2024,2024-07-24,Class I,Terminated,Solata Food LLC,"NY, NJ, NH",1. Greens Farmer Direct Organic Chopped Kale Spinach; 6x9 bag; UPC: 854311007377 /
spinach,F-1476-2024,2024-07-24,Class I,Terminated,Solata Food LLC,"NY, NJ, NH",1. Greens Solata Spinach; 10x9 bag; UPC: 854311007391 / 2. Greens Full Circle Organic Baby Spinach; 6x10 Clamshell; UPC: 036800490512 / 3. Greens Solata Baby Spinach 6x10 clamshel…
spinach,F-0771-2024,2024-01-24,Class I,Completed,Fresh Express Incorpated,"The product was shipped to the following states: AL, FL, GA, NC, SC, TN & VA.","Spinach sold under the brand names of Fresh Express NET WT. 8 OZ (227G) UPC 0 71279 13204 4 FRESH EXPRESS INCORPORATED PO BOX 80399, SALINAS, CA 93912 & Publix NET WT 9 OZ (255g) …"
spinach,F-0480-2024,2023-12-06,Class I,Terminated,GreenGate Fresh LLLP,Total number of consignees that received the recall product: 8. Total number of distributors that received the recall p…,GreenGate Fresh Standard Cello Spinach; 4 - 2.5lb plastic bags per box; SKU 465; Perishable hence require refrigeration at all times of its shelflife
spinach,F-1375-2023,2023-08-16,Class II,Terminated,Bellingham Pasta Co,Distributed in WA.,"Semolina Spinach Fettuccine, net wt. 14oz. Product is packaged in a clear clamshell plastic container. Label declares: Fresh & Hand Crafted Bellingham Pasta Co. Ingredients Semoli…"
spinach,F-0317-2023,2023-02-01,Class II,Terminated,"Wegmans Food Markets, Inc.","MA, NY, PA, NJ, VA, Washington DC, DE, NC, MD",Wegmans Organic Baby Kale & Baby Spinach with Sweet Pea Leaves; 5 oz
spinach,F-0304-2023,2023-01-25,Class II,Terminated,"Superior Fresh, LLC","IN, PA, VA, WI","Superior Fresh Lettuce Blend Ingredients May Contain Red Leaf, Green Leaf, Green Romaine, Red Romaine, Red Oak Leaf, Green Oak Leaf, Butter lettuce, Arugula, spinach. Keep Refrige…"
spinach,F-0302-2023,2023-01-25,Class II,Terminated,"Superior Fresh, LLC","IN, PA, VA, WI","Superior Fresh Lettuce Blend Ingredients May Contain Red Leaf, Green Leaf, Green Romaine, Red Romaine, Red Oak Leaf, Green Oak Leaf, Butter lettuce, Arugula, Kale, Spinach, Mustar…"
spinach,F-1401-2022,2022-07-13,Class II,Terminated,Bix Produce Company LLC,WI,"Bix Produce Diced Spinach, Item # 15939. packaged in 2lb bags, with 5 bags per case"
spinach,F-0710-2022,2022-02-16,Class I,Terminated,Dole Fresh Vegetables Inc,"AL, AZ, CA, CT, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NV, NY, OH, OK, OR, PA, SC,…",Marketside 5oz Organic Baby Spinach & Baby Kale Clamshell Product UPC 681131221290
spinach,F-0711-2022,2022-02-16,Class I,Terminated,Dole Fresh Vegetables Inc,"AL, AZ, CA, CT, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NV, NY, OH, OK, OR, PA, SC,…",Marketside 5oz Organic Spinach Arugula Blend Clamshell Product UPC 681131532082
spinach,F-0719-2022,2022-02-16,Class I,Terminated,Dole Fresh Vegetables Inc,"AL, AZ, CA, CT, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NV, NY, OH, OK, OR, PA, SC,…",Simply Nature 5oz Organic Baby Spinach and Arugula Clamshell Product UPC 4099100087994
spinach,F-0651-2022,2022-02-16,Class I,Terminated,Dole Fresh Vegetables Inc,"AL, AZ, CA, CT, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NV, NY, OH, OK, OR, PA, SC,…",Ahold 6oz Baby Spinach Bag Product UPC 688267010965 Kroger 10oz Baby Spinach Clamshell Product UPC 011110910509 Kroger 1lb Organic Baby Spinach Clamshell Product UPC 111110911513 …
spinach,F-0179-2021,2020-12-16,Class I,Terminated,Veg Pro International Inc,"NY,NH, NJ, DE, CT,MA, MD, RI, VA & PA","1. Fresh Attitude Baby Spinach, 11 oz. 2. Fresh Attitude Baby Spinach, 5 oz."
spinach,F-1564-2020,2020-10-07,Class I,Terminated,"Spokane Produce, Inc.","distributed in ID, MT, OR, WA, and WY.","Item 80929 Basil-Spinach w/ Fresh Mozzarella, Refrigerated, net wt.6.38 LB, packaged in Cardboard Box."
strawberry,H-0563-2026,2026-03-18,Class I,Ongoing,Made Fresh Salads Inc,New York,Made Fresh Salads brand Strawberry Cream Cheese; 5 lb white plastic tub
strawberry,H-0063-2026,2025-10-22,Class I,Terminated,WHOLESALE PRODUCE SUPPLY LLC DBA,"IA, IL, ND, NE, WI","Cut Fresh Luau Blend Fruit Mix ""F&F"". 4/10 oz. Fresh & Finest. Contains: Cantaloupe, Honeydew, Pineapple, Red Grapes, Strawberry, Blueberry. Keep Refrigerated. UPC 0 70253-00572 5…"
strawberry,F-0059-2025,2024-10-30,Class II,Terminated,"Youngstown Grape Distributors, Inc.","CA, TX, WA, KY, NC, NY, IL, VA, AL, GA, KS, CT, MI, MA, PA, OH, MD, WI, ND, MO, TN, NE, KS, RI, MN, FL, SC, IN, NJ, IA,…","Happy Moose Juice Strawberry Field packaged in a plastic 12 fl. oz. bottle. Ingredients: Organic Apple Juice, Organic Orange Juice, Organic Strawberry Puree, Organic Beet Juice, O…"
strawberry,F-1388-2024,2024-06-26,Class I,Terminated,New Seasons Market LLC,Distributed in Oregon and Washington.,"New Seasons Market Strawberry Rhubarb Bakewell Tart, packaged in a plastic clamshell with scale label. Contains Milk, Wheat, Eggs."
strawberry,F-0574-2024,2023-12-20,Class II,Terminated,Ben E Keith Foods - Fort Worth,All products were shipped via truck to food services.,LEMON CHOICE MINI PK 34-44 CT; STRAWBERRY SLICED 4-1
strawberry,F-1262-2023,2023-07-26,Class I,Terminated,SunOpta Grains and Foods Inc.,Nationwide,"Good & Gather Organic cherries & berries fruit blend. Blueberries, dark sweet pitted cherries, tart pitted cherries & Strawberry slices. Net Wt 32 oz (2 lb) 907g, UPC 0 85239-0478…"
strawberry,F-1254-2023,2023-07-26,Class I,Terminated,"Scenic Fruit Company, LLC",Trader Joe s Organic Tropical Fruit Blend 16 oz. bags were distributed nationwide. Cadia Organic Pineapple 10oz. bags w…,"Trader Joe s Organic Tropical Fruit Blend Pineapple, Banana, Strawberry, Mango, SKU #051191, packaged in pillow bags. Each case consists of 24 bags and each bag is 16 oz. UPC on r…"
strawberry,F-1266-2023,2023-07-26,Class I,Terminated,SunOpta Grains and Foods Inc.,Nationwide,"Good & Gather Mango Strawberry Blend. Whole Strawberries, Mango chunks & Pineapple Chunks. Net Wt 48 oz (3lb) 1.36kg, UPC 0 85239-04803 0. Keep Frozen. Dist. By Target Corp, Minne…"
strawberry,F-1235-2023,2023-07-19,Class I,Terminated,Oregon Potato Company,"All products distributed in AR, AZ, CA, CO, HI, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MT, ND, NE, NV, NY, OH, OK,…","Rader Farms Organic Berry Trio Strawberry, Blackberry, Raspberry. Item # 105872. Frozen, packed into flexible plastic bags. Net wt. 3lbs. UPC on retail bag: 8 84038 85143 4. A tot…"
strawberry,F-0537-2023,2023-03-22,Class I,Terminated,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine","The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .","Fresh Creative Cuisine, Fresh Cut Mango & Strawberry, Net . Wt. 7 Oz. Single Serving, Keep refrigerated"
strawberry,F-0102-2024,2023-03-22,Class I,Terminated,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine","The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .","Quick & Fresh, Fresh Cut Mango & Strawberry, Net . Wt. 7 Oz. Single Serving, Keep refrigerated"
strawberry,F-0100-2024,2023-03-22,Class I,Terminated,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine","The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .","Quick & Fresh, Fresh Cut Honeydew Melon & Strawberry, Net . Wt. 7 Oz. Single Serving, Keep refrigerated"
strawberry,F-0101-2024,2023-03-22,Class I,Terminated,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine","The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .","Fresh Creative Cuisine White Label, Fresh Cut Mango & Strawberry, Net . Wt. 7 Oz. Single Serving, Keep refrigerated"
strawberry,F-1755-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Strawberry & Pineapple. Packaged in the following brands and sizes: 1. Item 80640. Net Wt. 14 oz. Crazy Fresh 2. Item 80868. Net Wt 20 oz. Crazy Fresh, quick & easy, and grocery s…"
strawberry,F-1759-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Broccoli, Carrot, Strawberry, Red Grape. Net Wt. 11 oz. Item 80820 Packaged under the following brands: Crazy Fresh, quick & easy, and grocery store branded."
strawberry,F-1763-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Four Berry Blend containing Strawberry, Blackberry, Blueberry, Raspberry. Keep Refrigerated. Item 80847. Net Wt. 12 oz. packaged in the following brands: .Crazy Fresh, quick & eas…"
strawberry,F-1753-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Strawberry, Kiwi, Mango. Packaged in the following brands and sizes: 1. Item 80595. Net Wt. 14 oz. Crazy Fresh 2. Item 80866. Net Wt 20 oz. Crazy Fresh, quick & easy, and grocery …"
strawberry,F-1765-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Deluxe Fruit Bowl. Contains Pineapple, Cantaloupe, Honeydew, Watermelon, Kiwi, Strawberry. Keep Refrigerated. Item 80935. Net Wt. 3.5 lb. Packed under brands: Crazy Fresh, quick &…"
strawberry,F-1764-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Kiwi, Strawberry. Keep Refrigerated. Packaged in the following brands and sizes: 1. Item 80850. Net Wt. 12 oz. Crazy Fresh, quick & easy, and grocery store branded. 2. Item 80871.…"
strawberry,F-1756-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Strawberry Parfait, Net Wt. 6 oz (170 g) Keep Refrigerated. Packaged under the following brands: 1. Item 80730 Crazy Fresh, or quick & easy. UPC 95631-80730 2. Item 80735 Kowalski…"
strawberry,F-1766-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Fruit Tray. Contains Honeydew, Pineapple, Cantaloupe, Red Grapes, Strawberry. Keep Refrigerated. Item 80902. Net Wt. 4 lb. Packed under brands: Crazy Fresh, quick & easy, and groc…"
